k,source_f1_initial,source_f1_final,forgetting,target_f1
10,0.9914800502816705,0.9907640638119227,0.000715986469747798,0.30905749065927446
50,0.9914800502816705,0.9845969378343479,0.006883112447322648,0.48904563289368375
100,0.9914800502816705,0.9825092962401873,0.008970754041483175,0.5600321450846807
500,0.9914800502816705,0.8237236084452975,0.16775644183637306,0.7373903774407675
