epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0972,0.9691,0.0477,0.9843,0.9454,0.9945
2,0.0485,0.9847,0.0366,0.9891,0.9622,0.9964
3,0.0376,0.9881,0.0424,0.9877,0.9576,0.996
4,0.032,0.9893,0.0405,0.9876,0.9574,0.9958
5,0.0285,0.9907,0.036,0.99,0.9658,0.9964
6,0.0258,0.9913,0.0381,0.9889,0.9617,0.9958
7,0.023,0.9922,0.0388,0.9903,0.9666,0.9957
8,0.021,0.9932,0.0402,0.9912,0.97,0.9961
9,0.0202,0.9931,0.0358,0.9909,0.9687,0.9967
10,0.0178,0.9941,0.0347,0.9913,0.9702,0.9968
11,0.0166,0.9942,0.0356,0.9914,0.9706,0.9965
12,0.0172,0.9943,0.0388,0.9911,0.9693,0.9959
13,0.0145,0.9953,0.0365,0.9916,0.9714,0.9961
14,0.0147,0.995,0.0389,0.9916,0.9713,0.9958
15,0.0127,0.9959,0.0414,0.9913,0.9701,0.9955
16,0.0124,0.9958,0.0415,0.9925,0.9744,0.9962
17,0.0144,0.9953,0.0419,0.9911,0.9692,0.9961
18,0.0129,0.9957,0.0354,0.9925,0.9741,0.997
19,0.0113,0.9961,0.0404,0.9921,0.9729,0.9963
20,0.01,0.9963,0.0463,0.9912,0.97,0.9952
21,0.0104,0.9964,0.0481,0.9915,0.971,0.9954
22,0.0111,0.9962,0.0436,0.9917,0.9715,0.996
23,0.0092,0.9968,0.0427,0.9925,0.9745,0.9958
24,0.0088,0.9967,0.0435,0.9925,0.9743,0.9964
25,0.0094,0.9968,0.0437,0.9919,0.9724,0.9957
26,0.009,0.9968,0.0449,0.992,0.9726,0.9958
27,0.0085,0.9972,0.0526,0.9908,0.9683,0.9953
28,0.0087,0.9971,0.0505,0.9905,0.9678,0.9955
29,0.008,0.9973,0.0504,0.9917,0.9716,0.9957
30,0.0086,0.997,0.0419,0.9919,0.9726,0.997
31,0.0071,0.9977,0.0423,0.9926,0.9749,0.9965
32,0.0073,0.9975,0.0471,0.9925,0.9743,0.996
33,0.0074,0.9976,0.0507,0.991,0.969,0.9966
34,0.0067,0.9978,0.0516,0.9925,0.9741,0.996
35,0.0077,0.9973,0.0499,0.9916,0.9714,0.9962
36,0.0072,0.9976,0.0543,0.9906,0.9677,0.9964
37,0.0066,0.9977,0.0532,0.9916,0.9712,0.9958
38,0.0075,0.9975,0.0534,0.9919,0.9721,0.9964
39,0.007,0.9976,0.0529,0.9917,0.9716,0.9959
40,0.0077,0.9972,0.0494,0.9923,0.9735,0.9962
41,0.0062,0.998,0.0543,0.9916,0.9714,0.996
42,0.006,0.9979,0.0536,0.9917,0.9717,0.9961
43,0.0058,0.998,0.052,0.9929,0.9757,0.9959
44,0.0056,0.9979,0.0566,0.9925,0.9742,0.9957
45,0.0063,0.998,0.053,0.992,0.9725,0.9961
46,0.0062,0.9979,0.0577,0.9917,0.9715,0.9962
47,0.0053,0.9981,0.0516,0.992,0.9727,0.9957
48,0.0059,0.998,0.0575,0.992,0.9726,0.995
49,0.0053,0.9982,0.0578,0.9922,0.9732,0.9954
50,0.0048,0.9984,0.0606,0.9919,0.9722,0.9952
