epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.111,0.9614,0.0421,0.9879,0.9578,0.9938
2,0.0485,0.9858,0.0266,0.9931,0.9763,0.9979
3,0.0344,0.9902,0.0471,0.9834,0.9451,0.998
4,0.0306,0.991,0.019,0.9949,0.9826,0.9993
5,0.0256,0.9925,0.0289,0.9932,0.9772,0.9993
6,0.0215,0.9938,0.017,0.9956,0.9851,0.999
7,0.0179,0.9947,0.0134,0.9965,0.988,0.9996
8,0.0158,0.9951,0.0163,0.9954,0.9845,0.9987
9,0.0134,0.9961,0.0148,0.9965,0.988,0.9973
10,0.0132,0.9958,0.0151,0.9964,0.9877,0.9988
11,0.0114,0.9966,0.0142,0.9965,0.988,0.9989
12,0.0102,0.9968,0.0176,0.9961,0.9867,0.9991
13,0.0084,0.9971,0.0145,0.9964,0.9877,0.9991
14,0.0082,0.9973,0.0186,0.996,0.9864,0.9983
15,0.0084,0.9971,0.0138,0.9964,0.9877,0.9996
16,0.0065,0.9975,0.0154,0.9966,0.9883,0.9984
17,0.0067,0.9975,0.0278,0.9944,0.9812,0.9986
18,0.0071,0.9976,0.0181,0.9963,0.9873,0.9984
19,0.0057,0.9981,0.0147,0.9958,0.9858,0.9997
20,0.0066,0.9977,0.018,0.9959,0.9861,0.9993
21,0.0045,0.9984,0.0163,0.9964,0.9878,0.9989
22,0.0052,0.9984,0.0153,0.9976,0.9918,0.9988
23,0.0047,0.9985,0.0169,0.9966,0.9886,0.9984
24,0.0043,0.9986,0.0171,0.9972,0.9905,0.9979
25,0.0032,0.999,0.0152,0.996,0.9865,0.9991
26,0.0035,0.9988,0.0153,0.9964,0.9877,0.9997
27,0.0033,0.9989,0.0153,0.9962,0.9871,0.9992
28,0.0031,0.999,0.0158,0.9966,0.9887,0.9995
29,0.0029,0.9991,0.0166,0.9966,0.9884,0.9997
30,0.0021,0.9993,0.0188,0.9962,0.9871,0.9989
31,0.0014,0.9994,0.0206,0.9966,0.9883,0.9978
32,0.0019,0.9994,0.026,0.9954,0.9846,0.9993
33,0.0009,0.9996,0.0225,0.9969,0.9896,0.9983
34,0.0011,0.9996,0.0253,0.9965,0.988,0.9983
35,0.0004,0.9999,0.0334,0.9965,0.988,0.9964
36,0.0022,0.9996,0.0266,0.9963,0.9873,0.9982
37,0.0008,0.9998,0.0253,0.9958,0.9858,0.9985
38,0.0003,0.9999,0.0223,0.9965,0.988,0.9992
39,0.0005,0.9998,0.0228,0.9966,0.9887,0.999
40,0.0003,1.0,0.0224,0.997,0.9899,0.9989
41,0.0001,1.0,0.0244,0.9969,0.9896,0.9986
42,0.0,1.0,0.0241,0.997,0.9899,0.9984
43,0.0,1.0,0.0288,0.9965,0.988,0.9986
44,nan,0.9754,nan,0.852,0.0,0.0
45,nan,0.8487,nan,0.852,0.0,0.0
46,nan,0.8487,nan,0.852,0.0,0.0
47,nan,0.8487,nan,0.852,0.0,0.0
48,nan,0.8487,nan,0.852,0.0,0.0
49,nan,0.8487,nan,0.852,0.0,0.0
50,nan,0.8487,nan,0.852,0.0,0.0
