epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0745,0.9744,0.0344,0.9884,0.9628,0.9969
2,0.0404,0.9885,0.0292,0.9917,0.9726,0.9971
3,0.0312,0.9904,0.026,0.9925,0.9752,0.9985
4,0.0253,0.9927,0.0256,0.9935,0.9786,0.9982
5,0.0233,0.9933,0.0465,0.9835,0.9481,0.9983
6,0.0178,0.9948,0.0145,0.9957,0.9859,0.9995
7,0.0148,0.9955,0.0318,0.9915,0.9717,0.9986
8,0.0139,0.9956,0.0154,0.9955,0.9852,0.9995
9,0.0105,0.9964,0.0178,0.9939,0.9798,0.9994
10,0.0108,0.9967,0.0235,0.9938,0.98,0.9991
11,0.0108,0.9964,0.0146,0.9957,0.9859,0.9991
12,0.0084,0.9971,0.0159,0.9951,0.9839,0.9994
13,0.0078,0.9974,0.0147,0.9961,0.9871,0.9989
14,0.008,0.9975,0.0173,0.996,0.9868,0.9988
15,0.0071,0.9975,0.0178,0.995,0.9835,0.9994
16,0.0065,0.9979,0.0129,0.9965,0.9884,0.9996
17,0.0056,0.998,0.0194,0.9945,0.9821,0.999
18,0.0053,0.9981,0.0214,0.9938,0.9797,0.999
19,0.0051,0.9982,0.0179,0.9953,0.9846,0.9986
20,0.0052,0.998,0.0194,0.9957,0.9858,0.9983
21,0.0047,0.9983,0.0178,0.9957,0.9858,0.9988
22,0.0035,0.9989,0.0219,0.9952,0.9845,0.9989
23,0.0046,0.9984,0.0174,0.9957,0.9859,0.9994
24,0.0033,0.9989,0.0232,0.9954,0.9849,0.9983
25,0.0033,0.9986,0.0212,0.9942,0.9812,0.9991
26,0.0031,0.999,0.0195,0.9952,0.9845,0.9996
27,0.0026,0.9991,0.0177,0.9959,0.9865,0.999
28,0.002,0.9993,0.0164,0.9961,0.9872,0.9989
29,0.0022,0.9992,0.0159,0.9961,0.9872,0.9989
30,0.0016,0.9993,0.0197,0.9959,0.9866,0.9987
31,0.0014,0.9996,0.0174,0.9967,0.9893,0.9991
32,0.0012,0.9996,0.0246,0.9966,0.989,0.9985
33,0.0008,0.9998,0.0293,0.9954,0.9849,0.9977
34,0.0009,0.9997,0.0241,0.9965,0.9884,0.9979
35,0.0007,0.9999,0.02,0.9966,0.9887,0.9987
36,0.0003,0.9999,0.0215,0.9967,0.9893,0.9978
37,0.0005,0.9999,0.0244,0.9966,0.989,0.9977
38,0.0002,0.9999,0.0225,0.9968,0.9896,0.9976
39,0.0001,1.0,0.0259,0.9965,0.9884,0.9975
40,0.0003,1.0,0.0295,0.9963,0.9877,0.9981
41,0.0001,1.0,0.0302,0.996,0.9868,0.9973
42,0.0,1.0,0.0308,0.9961,0.9871,0.997
43,0.0001,1.0,0.0297,0.9965,0.9884,0.9971
44,0.0,1.0,0.0301,0.9966,0.9887,0.9974
45,0.0,1.0,0.0305,0.9965,0.9884,0.9972
46,0.0,1.0,0.0305,0.9962,0.9875,0.9972
47,0.0,1.0,0.0329,0.996,0.9868,0.9972
48,0.0,1.0,0.0328,0.996,0.9868,0.9973
49,0.0,1.0,0.0324,0.9961,0.9871,0.9973
50,0.0,1.0,0.0332,0.9961,0.9871,0.9972
