epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0646,0.9788,0.0288,0.9909,0.9691,0.998
2,0.0385,0.9891,0.0227,0.9928,0.9753,0.9989
3,0.0282,0.9913,0.0249,0.992,0.9721,0.9987
4,0.0239,0.9928,0.0195,0.9953,0.984,0.9988
5,0.0216,0.9932,0.0203,0.9943,0.9806,0.9987
6,0.0177,0.9947,0.0215,0.9939,0.9792,0.9983
7,0.0155,0.9952,0.0226,0.9921,0.9734,0.9994
8,0.0137,0.9959,0.0195,0.9937,0.9786,0.9988
9,0.0129,0.996,0.031,0.9931,0.9764,0.9978
10,0.0116,0.9959,0.0292,0.9923,0.9739,0.9984
11,0.01,0.9966,0.0222,0.9943,0.9807,0.9978
12,0.0096,0.9968,0.0325,0.9915,0.9716,0.9989
13,0.0101,0.9965,0.0233,0.9941,0.9801,0.9982
14,0.008,0.9973,0.0275,0.9922,0.9736,0.9988
15,0.0082,0.9973,0.0205,0.9953,0.9841,0.9979
16,0.0065,0.9976,0.0193,0.9941,0.9801,0.999
17,0.0073,0.9975,0.0218,0.9947,0.9819,0.9986
18,0.0068,0.9978,0.0269,0.9944,0.9809,0.9988
19,0.0064,0.9977,0.0291,0.9947,0.9818,0.9964
20,0.0046,0.9983,0.0235,0.995,0.9827,0.9982
21,0.0048,0.9983,0.0294,0.9944,0.981,0.9988
22,0.0049,0.9983,0.0243,0.9953,0.9841,0.9975
23,0.0045,0.9986,0.024,0.9933,0.9774,0.9985
24,0.0035,0.9988,0.0232,0.9946,0.9816,0.9988
25,0.0029,0.9991,0.0599,0.9841,0.948,0.9986
26,0.0035,0.9989,0.0228,0.9948,0.9822,0.9986
27,0.0023,0.9992,0.0302,0.9952,0.9834,0.9967
28,0.0027,0.9992,0.0231,0.9958,0.9857,0.9989
29,0.0023,0.9993,0.0262,0.9944,0.981,0.9982
30,0.002,0.9994,0.0332,0.9935,0.9779,0.9984
31,0.002,0.9995,0.0223,0.9958,0.9857,0.9994
32,0.0009,0.9998,0.0268,0.9952,0.9836,0.9994
33,0.0012,0.9998,0.0229,0.9956,0.985,0.9987
34,0.0004,0.9999,0.0342,0.9952,0.9834,0.9955
35,0.0001,1.0,0.0375,0.9952,0.9837,0.9973
36,0.001,0.9997,0.0329,0.9958,0.9857,0.9973
37,0.0003,0.9999,0.0392,0.9956,0.985,0.9943
38,0.0007,0.9998,0.0343,0.996,0.9863,0.9975
39,0.0002,1.0,0.0359,0.9959,0.986,0.9975
40,0.0,1.0,0.0376,0.9957,0.9854,0.997
41,nan,0.8579,nan,0.8528,0.0,0.0
42,nan,0.8485,nan,0.8528,0.0,0.0
43,nan,0.8485,nan,0.8528,0.0,0.0
44,nan,0.8485,nan,0.8528,0.0,0.0
45,nan,0.8485,nan,0.8528,0.0,0.0
46,nan,0.8485,nan,0.8528,0.0,0.0
47,nan,0.8485,nan,0.8528,0.0,0.0
48,nan,0.8485,nan,0.8528,0.0,0.0
49,nan,0.8485,nan,0.8528,0.0,0.0
50,nan,0.8485,nan,0.8528,0.0,0.0
