epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.1315,0.9518,0.0442,0.9862,0.9537,0.9957
2,0.0482,0.9858,0.0524,0.986,0.9511,0.9947
3,0.0367,0.9897,0.0356,0.9905,0.968,0.9985
4,0.0288,0.9919,0.0273,0.9916,0.9709,0.9983
5,0.0258,0.9931,0.0229,0.9927,0.9749,0.999
6,0.0205,0.994,0.0277,0.9919,0.9725,0.9986
7,0.0178,0.9944,0.0348,0.99,0.9666,0.9988
8,0.0157,0.9954,0.0231,0.993,0.9764,0.9985
9,0.0137,0.9957,0.0231,0.9938,0.9792,0.9991
10,0.0132,0.9958,0.0205,0.9941,0.9798,0.999
11,0.0108,0.9967,0.0216,0.9939,0.9793,0.9986
12,0.0114,0.9964,0.0234,0.9936,0.9781,0.9985
13,0.0111,0.9965,0.02,0.9948,0.9821,0.9993
14,0.0101,0.9968,0.0198,0.9949,0.9825,0.9986
15,0.0088,0.9972,0.0237,0.9942,0.9803,0.9977
16,0.0088,0.9971,0.0202,0.9952,0.9835,0.9977
17,0.0079,0.9975,0.0225,0.9937,0.9783,0.9982
18,0.0085,0.997,0.021,0.9936,0.9784,0.9993
19,0.0061,0.9981,0.0299,0.9916,0.9719,0.9977
20,0.0067,0.9981,0.0212,0.9947,0.9818,0.9987
21,0.0065,0.9979,0.0219,0.9938,0.9793,0.9986
22,0.0052,0.9982,0.0252,0.9938,0.9792,0.9968
23,0.0053,0.9984,0.0295,0.9942,0.9805,0.9986
24,0.0073,0.9978,0.0241,0.9952,0.9835,0.9982
25,0.0057,0.9981,0.0252,0.9949,0.9825,0.9984
26,0.0042,0.9987,0.0239,0.9953,0.9841,0.9987
27,0.0036,0.9987,0.0356,0.994,0.9796,0.9965
28,0.0038,0.9988,0.0271,0.9948,0.9822,0.9975
29,0.003,0.999,0.0296,0.9944,0.981,0.9974
30,0.0029,0.9991,0.0251,0.9952,0.9835,0.9988
31,0.002,0.9994,0.0272,0.9948,0.9823,0.9979
32,0.0014,0.9995,0.0274,0.9946,0.9816,0.9978
33,0.0026,0.9993,0.0268,0.9952,0.9835,0.9983
34,0.0011,0.9997,0.0252,0.9953,0.9841,0.998
35,0.0004,0.9999,0.0358,0.9951,0.9831,0.9963
36,0.0008,0.9998,0.0317,0.9952,0.9835,0.997
37,0.0006,0.9998,0.0339,0.995,0.9829,0.9964
38,0.0005,0.9998,0.0341,0.9952,0.9838,0.9971
39,0.0003,0.9999,0.0385,0.9948,0.9823,0.9967
40,nan,0.9913,nan,0.8528,0.0,0.0
41,nan,0.8485,nan,0.8528,0.0,0.0
42,nan,0.8485,nan,0.8528,0.0,0.0
43,nan,0.8485,nan,0.8528,0.0,0.0
44,nan,0.8485,nan,0.8528,0.0,0.0
45,nan,0.8485,nan,0.8528,0.0,0.0
46,nan,0.8485,nan,0.8528,0.0,0.0
47,nan,0.8485,nan,0.8528,0.0,0.0
48,nan,0.8485,nan,0.8528,0.0,0.0
49,nan,0.8485,nan,0.8528,0.0,0.0
50,nan,0.8485,nan,0.8528,0.0,0.0
