k,source_f1_initial,source_f1_final,forgetting,target_f1
10,0.9797133817234319,0.9554152407576999,0.024298140965732018,0.3922332572999164
50,0.9797133817234319,0.9543993665284829,0.025314015194949024,0.6139581032476775
100,0.9797133817234319,0.8590374679630609,0.12067591376037101,0.7189253925240284
500,0.9797133817234319,0.4550033863867254,0.5247099953367065,0.7836170495155605
