epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.114,0.9599,0.0377,0.9892,0.9646,0.9962
2,0.0494,0.9856,0.041,0.9887,0.9617,0.9974
3,0.0337,0.9903,0.0254,0.9922,0.9738,0.9985
4,0.0282,0.9919,0.0228,0.9931,0.9776,0.9989
5,0.0248,0.9929,0.024,0.9932,0.9774,0.9987
6,0.0191,0.9945,0.0192,0.9944,0.9814,0.999
7,0.0187,0.9948,0.0222,0.9932,0.9775,0.9988
8,0.0157,0.9952,0.0166,0.995,0.9834,0.9995
9,0.0127,0.996,0.0178,0.9948,0.9829,0.9993
10,0.0122,0.996,0.0235,0.9936,0.9786,0.9978
11,0.0126,0.9963,0.0173,0.9953,0.9846,0.999
12,0.0109,0.9966,0.0215,0.9937,0.979,0.998
13,0.0099,0.9967,0.0178,0.9952,0.9839,0.9989
14,0.0081,0.9974,0.0174,0.995,0.9836,0.999
15,0.0082,0.9971,0.0208,0.9952,0.9844,0.998
16,0.0082,0.9973,0.0172,0.9965,0.9883,0.9989
17,0.0073,0.9977,0.0227,0.9949,0.983,0.999
18,0.007,0.9976,0.0207,0.9956,0.9856,0.9986
19,0.0064,0.998,0.0228,0.9946,0.9822,0.9974
20,0.0066,0.9978,0.0198,0.9949,0.9832,0.9983
21,0.0066,0.998,0.0172,0.9958,0.9862,0.999
22,0.0057,0.9983,0.0191,0.9963,0.9877,0.9986
23,0.0054,0.9984,0.0155,0.9966,0.989,0.9988
24,0.005,0.9982,0.0169,0.9957,0.986,0.9991
25,0.0046,0.9986,0.0186,0.9961,0.9871,0.9991
26,0.0042,0.9988,0.0194,0.9956,0.9855,0.9989
27,0.0038,0.9987,0.0171,0.9964,0.988,0.9982
28,0.0035,0.9988,0.0155,0.996,0.9868,0.9987
29,0.0022,0.9993,0.0201,0.9962,0.9875,0.9978
30,0.0022,0.9993,0.0214,0.9966,0.9887,0.9974
31,0.0023,0.9993,0.0203,0.9965,0.9884,0.9982
32,0.0015,0.9995,0.0194,0.9966,0.989,0.9986
33,0.0011,0.9996,0.0224,0.9961,0.9872,0.9978
34,0.0015,0.9996,0.0215,0.996,0.9868,0.9988
35,0.0008,0.9998,0.0218,0.9964,0.9881,0.9985
36,0.0004,0.9999,0.0275,0.9966,0.9887,0.997
37,0.0004,0.9999,0.0255,0.9969,0.9899,0.9973
38,0.0002,1.0,0.0271,0.9967,0.9893,0.9987
39,0.0003,0.9999,0.0274,0.9965,0.9884,0.9984
40,0.0004,0.9999,0.0241,0.9967,0.9893,0.9988
41,0.0,1.0,0.0252,0.9967,0.9893,0.9986
42,0.0,1.0,0.0275,0.9966,0.989,0.9979
43,0.0,1.0,0.028,0.9966,0.989,0.9976
44,0.0,1.0,0.0274,0.997,0.9902,0.9978
45,0.0,1.0,0.0279,0.9968,0.9896,0.9984
46,0.0,1.0,0.0311,0.9965,0.9884,0.9982
47,0.0,1.0,0.0322,0.9964,0.9881,0.9979
48,0.0,1.0,0.0329,0.9965,0.9884,0.9977
49,0.0,1.0,0.0324,0.9963,0.9878,0.9976
50,0.0,1.0,0.0326,0.9965,0.9884,0.9976
