epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0457,0.9853,0.0205,0.9934,0.9775,0.9992
2,0.0238,0.9929,0.017,0.9952,0.9836,0.9991
3,0.0196,0.9937,0.0138,0.9956,0.9852,0.9997
4,0.0161,0.9948,0.026,0.9912,0.9697,0.9992
5,0.0137,0.9957,0.0188,0.9942,0.9804,0.9993
6,0.012,0.996,0.0142,0.9955,0.9849,0.9996
7,0.0099,0.9967,0.0148,0.9963,0.9873,0.9993
8,0.0099,0.9965,0.0231,0.9929,0.9758,0.9992
9,0.0082,0.9974,0.0148,0.9966,0.9883,0.9994
10,0.0067,0.9976,0.0156,0.9963,0.9873,0.9998
11,0.0069,0.9975,0.0137,0.9962,0.9871,0.9995
12,0.005,0.9983,0.0146,0.9963,0.9874,0.9993
13,0.0056,0.9978,0.0236,0.9939,0.9796,0.9991
14,0.0043,0.9983,0.0187,0.9961,0.9868,0.9992
15,0.004,0.9987,0.0165,0.9962,0.9871,0.9994
16,0.0039,0.9987,0.0168,0.9967,0.9889,0.9991
17,0.0031,0.9989,0.0169,0.9971,0.9902,0.9993
18,0.004,0.9987,0.017,0.9956,0.9853,0.9996
19,0.0023,0.9993,0.0178,0.9963,0.9874,0.9997
20,0.0032,0.9988,0.0157,0.9967,0.9889,0.9996
21,0.0023,0.9991,0.018,0.9962,0.9871,0.9997
22,0.0028,0.999,0.018,0.9956,0.9853,0.9997
23,0.0026,0.9991,0.0182,0.9966,0.9886,0.9996
24,0.0029,0.9991,0.0207,0.9967,0.9889,0.9994
25,0.0017,0.9995,0.0209,0.9966,0.9886,0.9994
26,0.0017,0.9993,0.0235,0.9967,0.9889,0.999
27,0.0022,0.9992,0.0181,0.9966,0.9886,0.9993
28,0.0017,0.9995,0.0173,0.997,0.9899,0.9997
29,0.0015,0.9994,0.0235,0.9964,0.9876,0.9995
30,0.0026,0.9992,0.0164,0.997,0.9899,0.9998
31,0.0005,0.9999,0.0224,0.9969,0.9896,0.9995
32,0.0017,0.9996,0.0211,0.996,0.9864,0.9993
33,0.0023,0.9991,0.015,0.9962,0.9871,0.9997
34,0.0009,0.9998,0.0197,0.9957,0.9855,0.9998
35,0.0013,0.9997,0.0185,0.9966,0.9887,0.9996
36,0.0015,0.9994,0.0195,0.9964,0.9877,0.9997
37,0.0011,0.9996,0.0187,0.9965,0.9881,0.9998
38,0.0013,0.9995,0.0177,0.9969,0.9896,0.9997
39,0.0012,0.9996,0.0211,0.9967,0.989,0.9995
40,0.0017,0.9994,0.0199,0.9966,0.9883,0.9998
41,0.0005,0.9999,0.0232,0.9966,0.9883,0.9998
42,0.0018,0.9994,0.017,0.9966,0.9883,0.9998
43,0.0006,0.9999,0.0164,0.9968,0.9893,0.9998
44,0.001,0.9997,0.0207,0.9964,0.9878,0.9996
45,0.001,0.9997,0.021,0.9963,0.9874,0.9997
46,0.001,0.9997,0.022,0.9956,0.9852,0.9996
47,0.0006,0.9999,0.0221,0.9963,0.9874,0.9998
48,0.0013,0.9996,0.0236,0.9967,0.989,0.9997
49,0.0015,0.9996,0.0171,0.9967,0.989,0.9997
50,0.0002,1.0,0.0217,0.9968,0.9893,0.9998
