epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0521,0.9829,0.0253,0.9926,0.9758,0.9977
2,0.0324,0.9904,0.0233,0.9927,0.9761,0.9983
3,0.0273,0.9921,0.0211,0.9934,0.9781,0.9987
4,0.0229,0.9931,0.0281,0.9914,0.9712,0.999
5,0.0202,0.9939,0.0189,0.9956,0.9855,0.999
6,0.0162,0.9951,0.0158,0.9957,0.9858,0.9991
7,0.0155,0.9952,0.0196,0.9935,0.9783,0.9994
8,0.0123,0.9959,0.0155,0.9949,0.9832,0.9996
9,0.0107,0.9964,0.0129,0.9956,0.9857,0.9995
10,0.0098,0.9966,0.0148,0.9963,0.9877,0.9991
11,0.0092,0.997,0.0187,0.9949,0.983,0.9996
12,0.0082,0.9972,0.0155,0.9957,0.9859,0.9994
13,0.0084,0.9973,0.0164,0.9952,0.9841,0.9993
14,0.0073,0.9974,0.0199,0.9939,0.9803,0.9989
15,0.0061,0.9979,0.0158,0.996,0.9868,0.9993
16,0.0059,0.998,0.0195,0.9948,0.9827,0.9989
17,0.0052,0.9983,0.0164,0.9954,0.985,0.9993
18,0.0059,0.998,0.0135,0.9963,0.9877,0.9994
19,0.0048,0.9984,0.0156,0.9963,0.9877,0.9991
20,0.0039,0.9985,0.0171,0.9959,0.9866,0.999
21,0.004,0.9986,0.0204,0.9956,0.9855,0.9989
22,0.0039,0.9987,0.0163,0.9962,0.9874,0.9989
23,0.0032,0.9988,0.0183,0.9952,0.9843,0.999
24,0.0035,0.9988,0.0165,0.9962,0.9875,0.9991
25,0.0026,0.9991,0.0213,0.9957,0.9859,0.999
26,0.0025,0.9991,0.0215,0.996,0.9868,0.9989
27,0.0025,0.9991,0.017,0.9964,0.9881,0.9992
28,0.0017,0.9994,0.0195,0.9952,0.9844,0.9995
29,0.0014,0.9995,0.0228,0.9961,0.9871,0.9988
30,0.001,0.9997,0.0301,0.9957,0.9859,0.9986
31,0.0015,0.9996,0.0211,0.9963,0.9878,0.9989
32,0.0015,0.9995,0.0232,0.9967,0.9893,0.9981
33,0.0008,0.9997,0.0206,0.9966,0.9887,0.9987
34,0.0006,0.9999,0.0217,0.9968,0.9896,0.9991
35,0.0004,0.9999,0.0231,0.9966,0.989,0.9984
36,0.0006,0.9998,0.0243,0.9967,0.9893,0.9984
37,0.0005,0.9999,0.0217,0.9968,0.9896,0.9988
38,0.0001,1.0,0.0227,0.997,0.9902,0.9983
39,0.0001,1.0,0.0231,0.997,0.9902,0.9982
40,0.0002,1.0,0.021,0.997,0.9902,0.9985
41,0.0001,1.0,0.0217,0.9965,0.9884,0.9984
42,0.0,1.0,0.0231,0.9967,0.9893,0.9983
43,0.0,1.0,0.0233,0.997,0.9902,0.9983
44,0.0,1.0,0.0231,0.997,0.9902,0.9985
45,0.0,1.0,0.0231,0.9968,0.9896,0.9985
46,0.0,1.0,0.0236,0.9966,0.9887,0.9985
47,0.0,1.0,0.0242,0.9968,0.9896,0.9984
48,0.0,1.0,0.0244,0.9966,0.9887,0.9985
49,0.0,1.0,0.0245,0.9966,0.989,0.9985
50,0.0,1.0,0.0244,0.9966,0.9887,0.9985
