k,source_f1_initial,source_f1_final,forgetting,target_f1
10,0.9555136663524977,0.9521185635569067,0.003395102795590965,0.5361443230032445
50,0.9555136663524977,0.9542298427093666,0.0012838236431310657,0.5513316441985958
100,0.9555136663524977,0.9530672406532217,0.0024464256992760003,0.592503443510413
500,0.9555136663524977,0.7170302386904558,0.2384834276620419,0.6804572339186663
