epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0696,0.9769,0.0272,0.9911,0.9698,0.9986
2,0.0398,0.9883,0.0223,0.9928,0.9755,0.9991
3,0.0322,0.9907,0.0225,0.9932,0.9768,0.9993
4,0.027,0.992,0.0227,0.9937,0.9783,0.9992
5,0.0226,0.993,0.015,0.9957,0.9855,0.9995
6,0.0188,0.9941,0.0189,0.9945,0.9811,0.9993
7,0.0178,0.9944,0.0163,0.9952,0.9834,0.9995
8,0.0162,0.9948,0.0167,0.9952,0.9838,0.9994
9,0.0146,0.9957,0.0158,0.9955,0.9847,0.9993
10,0.0117,0.9961,0.016,0.9956,0.9851,0.9993
11,0.0124,0.996,0.0179,0.9943,0.9806,0.9993
12,0.0097,0.9968,0.0169,0.9955,0.985,0.9995
13,0.0105,0.9966,0.0183,0.9951,0.9831,0.9996
14,0.009,0.9971,0.0193,0.9946,0.9816,0.9995
15,0.0094,0.997,0.0144,0.9959,0.9862,0.9994
16,0.0093,0.997,0.0166,0.9954,0.9845,0.9992
17,0.0081,0.9974,0.0201,0.9952,0.9836,0.999
18,0.0075,0.9974,0.0227,0.9956,0.9851,0.9983
19,0.0066,0.9979,0.0181,0.9953,0.9843,0.9993
20,nan,0.9104,nan,0.852,0.0,0.0
21,nan,0.8487,nan,0.852,0.0,0.0
22,nan,0.8487,nan,0.852,0.0,0.0
23,nan,0.8487,nan,0.852,0.0,0.0
24,nan,0.8487,nan,0.852,0.0,0.0
25,nan,0.8487,nan,0.852,0.0,0.0
26,nan,0.8487,nan,0.852,0.0,0.0
27,nan,0.8487,nan,0.852,0.0,0.0
28,nan,0.8487,nan,0.852,0.0,0.0
29,nan,0.8487,nan,0.852,0.0,0.0
30,nan,0.8487,nan,0.852,0.0,0.0
31,nan,0.8487,nan,0.852,0.0,0.0
32,nan,0.8487,nan,0.852,0.0,0.0
33,nan,0.8487,nan,0.852,0.0,0.0
34,nan,0.8487,nan,0.852,0.0,0.0
35,nan,0.8487,nan,0.852,0.0,0.0
36,nan,0.8487,nan,0.852,0.0,0.0
37,nan,0.8487,nan,0.852,0.0,0.0
38,nan,0.8487,nan,0.852,0.0,0.0
39,nan,0.8487,nan,0.852,0.0,0.0
40,nan,0.8487,nan,0.852,0.0,0.0
41,nan,0.8487,nan,0.852,0.0,0.0
42,nan,0.8487,nan,0.852,0.0,0.0
43,nan,0.8487,nan,0.852,0.0,0.0
44,nan,0.8487,nan,0.852,0.0,0.0
45,nan,0.8487,nan,0.852,0.0,0.0
46,nan,0.8487,nan,0.852,0.0,0.0
47,nan,0.8487,nan,0.852,0.0,0.0
48,nan,0.8487,nan,0.852,0.0,0.0
49,nan,0.8487,nan,0.852,0.0,0.0
50,nan,0.8487,nan,0.852,0.0,0.0
