epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.1064,0.9628,0.055,0.9811,0.9374,0.9949
2,0.0425,0.9873,0.0399,0.9886,0.9601,0.9975
3,0.0337,0.9898,0.0266,0.9921,0.9734,0.9988
4,0.0261,0.9923,0.0229,0.9935,0.9782,0.9993
5,0.0237,0.9927,0.0149,0.9948,0.9822,0.9995
6,0.0188,0.9938,0.0145,0.9959,0.9861,0.9994
7,0.0168,0.9951,0.0165,0.9944,0.9808,0.9994
8,0.0154,0.9955,0.0151,0.996,0.9863,0.9992
9,0.0132,0.9961,0.0162,0.9956,0.9852,0.9991
10,0.0125,0.9958,0.0156,0.9945,0.9815,0.9995
11,0.0104,0.9967,0.0204,0.9938,0.9792,0.9993
12,0.011,0.9963,0.0128,0.9968,0.9892,0.9995
13,0.0091,0.9972,0.0114,0.9962,0.9871,0.9994
14,0.0074,0.9976,0.0121,0.9963,0.9873,0.9993
15,0.0075,0.9976,0.0154,0.9957,0.9856,0.9995
16,0.0069,0.9975,0.0175,0.9964,0.9876,0.999
17,0.0063,0.9978,0.0161,0.9961,0.9868,0.9985
18,0.0051,0.9983,0.0145,0.9967,0.989,0.9993
19,0.0056,0.9979,0.0136,0.9969,0.9896,0.9988
20,0.0043,0.9985,0.0187,0.9963,0.9873,0.9988
21,0.005,0.9984,0.0191,0.9957,0.9855,0.9994
22,0.0046,0.9985,0.0135,0.9966,0.9886,0.9993
23,0.0038,0.9987,0.0146,0.9965,0.988,0.999
24,0.0038,0.9985,0.0172,0.9967,0.9889,0.9988
25,0.0033,0.9989,0.0174,0.997,0.9899,0.9989
26,0.0032,0.9987,0.0171,0.9967,0.9889,0.9993
27,0.0022,0.9992,0.0197,0.9959,0.9862,0.9992
28,0.0021,0.9993,0.0219,0.9967,0.9889,0.999
29,0.0021,0.9993,0.022,0.9953,0.9844,0.9991
30,0.0016,0.9994,0.0175,0.9969,0.9896,0.9987
31,0.0017,0.9994,0.0238,0.9964,0.9876,0.9984
32,0.0009,0.9997,0.0268,0.9961,0.9867,0.9984
33,0.001,0.9997,0.0244,0.9963,0.9874,0.9985
34,0.001,0.9997,0.0207,0.9967,0.989,0.9982
35,0.0009,0.9997,0.0207,0.9972,0.9905,0.9982
36,0.0006,0.9998,0.0219,0.9971,0.9902,0.9981
37,0.0006,0.9998,0.0191,0.9973,0.9908,0.9985
38,0.0,1.0,0.0221,0.9972,0.9905,0.998
39,0.0004,0.9999,0.0237,0.997,0.9899,0.9979
40,0.0,1.0,0.0243,0.9969,0.9896,0.9978
41,0.0001,1.0,0.0237,0.9968,0.9893,0.9974
42,0.0001,1.0,0.0255,0.9968,0.9892,0.9975
43,0.0,1.0,0.0242,0.9968,0.9893,0.9976
44,0.0,1.0,0.0263,0.9966,0.9883,0.9974
45,0.0,1.0,0.0265,0.9967,0.989,0.9973
46,0.0001,1.0,0.0262,0.9966,0.9886,0.9971
47,0.0,1.0,0.0264,0.9969,0.9896,0.997
48,0.0,1.0,0.0269,0.9967,0.989,0.9972
49,0.0,1.0,0.0271,0.9966,0.9883,0.9972
50,0.0,1.0,0.0273,0.9965,0.988,0.9969
