epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.5152,0.7777,0.4203,0.8528,0.0,0.5481
2,0.1415,0.9521,0.0551,0.9838,0.9441,0.9908
3,0.0626,0.9815,0.0548,0.9858,0.9505,0.9946
4,0.0615,0.9817,0.0515,0.984,0.9435,0.9951
5,0.0601,0.982,0.0641,0.9812,0.9353,0.9912
6,0.0543,0.9842,0.0682,0.9802,0.9287,0.9913
7,0.0492,0.9858,0.0482,0.9861,0.9512,0.9959
8,0.0489,0.9854,0.0661,0.9794,0.9257,0.9947
9,0.0485,0.9859,0.0483,0.9875,0.9571,0.9946
10,0.0428,0.9874,0.051,0.986,0.9536,0.9964
11,0.0414,0.9885,0.0492,0.984,0.9459,0.9944
12,0.0409,0.9883,0.0463,0.9858,0.9496,0.996
13,0.0394,0.989,0.0404,0.9891,0.9628,0.9966
14,0.0381,0.9892,0.0388,0.9897,0.9642,0.9958
15,0.0338,0.9907,0.0336,0.9904,0.9673,0.9975
16,0.0297,0.9918,0.0386,0.9894,0.9642,0.9959
17,0.0304,0.9917,0.0333,0.9913,0.9703,0.9984
18,0.0295,0.9915,0.0382,0.9893,0.9636,0.9973
19,0.0245,0.9926,0.0369,0.9925,0.9738,0.9964
20,0.023,0.9935,0.028,0.9914,0.9703,0.9969
21,0.0244,0.9934,0.0296,0.9921,0.9729,0.9972
22,0.0263,0.9933,0.0324,0.9925,0.9741,0.9968
23,0.023,0.9938,0.0284,0.9926,0.975,0.9968
24,0.0209,0.9941,0.0327,0.9924,0.9737,0.9959
25,0.0192,0.9948,0.0247,0.9942,0.9803,0.9985
26,0.0172,0.9955,0.0302,0.992,0.9727,0.9975
27,0.0168,0.9954,0.0287,0.9928,0.9755,0.9976
28,0.017,0.9956,0.035,0.9916,0.9709,0.9968
29,0.0145,0.996,0.0298,0.9945,0.9812,0.9972
30,0.0142,0.9964,0.0325,0.9929,0.9761,0.9973
31,0.0134,0.9964,0.0362,0.9916,0.9716,0.9963
32,0.0127,0.9965,0.0347,0.9937,0.9785,0.9962
33,0.009,0.9977,0.0345,0.9941,0.98,0.9972
34,0.0074,0.998,0.0272,0.9936,0.9783,0.9974
35,0.0054,0.9986,0.0332,0.9938,0.9787,0.9966
36,0.0046,0.9989,0.0348,0.9939,0.9793,0.9985
37,0.0045,0.9989,0.0389,0.994,0.9798,0.9975
38,0.0038,0.9993,0.04,0.9944,0.981,0.9961
39,0.0034,0.9991,0.0356,0.9945,0.9813,0.9964
40,0.0021,0.9995,0.0381,0.9946,0.9816,0.9967
41,0.0024,0.9995,0.0336,0.9949,0.9825,0.9967
42,0.0012,0.9997,0.0362,0.9952,0.9838,0.9962
43,0.0009,0.9998,0.0446,0.9943,0.9808,0.997
44,0.0007,0.9999,0.0405,0.9948,0.9823,0.9964
45,0.0005,0.9999,0.0403,0.995,0.9829,0.9964
46,0.0003,1.0,0.0405,0.9951,0.9832,0.9961
47,0.0004,0.9999,0.0408,0.9952,0.9838,0.9972
48,0.0003,0.9999,0.0406,0.9951,0.9832,0.9963
49,0.0003,1.0,0.0404,0.995,0.9829,0.9966
50,0.0002,1.0,0.0405,0.9951,0.9832,0.9967
