epoch,train_loss,domain_loss,alpha,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0599,0.4718,0.0,0.9813,0.0329,0.9909,0.9689,0.9965
2,0.0379,0.6904,0.0997,0.988,0.0318,0.9907,0.969,0.9968
3,0.0299,0.6845,0.1974,0.9907,0.0406,0.9885,0.9616,0.9964
4,0.0275,0.6872,0.2913,0.9915,0.0361,0.9892,0.9641,0.9969
5,0.0245,0.6891,0.3799,0.9925,0.0259,0.9922,0.9735,0.9979
6,0.0226,0.6894,0.4621,0.9927,0.0291,0.9918,0.9723,0.9977
7,0.0195,0.6904,0.537,0.9937,0.0381,0.9906,0.9683,0.9971
8,0.0191,0.6909,0.6044,0.9941,0.106,0.9591,0.8768,0.9951
9,0.0163,0.6909,0.664,0.995,0.0267,0.9929,0.9761,0.9984
10,0.0156,0.6917,0.7163,0.995,0.0275,0.9926,0.9751,0.9982
11,0.0154,0.6915,0.7616,0.9948,0.0252,0.9945,0.9815,0.9978
12,0.0146,0.6921,0.8005,0.9952,0.0264,0.9936,0.9783,0.9984
13,0.0136,0.6919,0.8337,0.9957,0.0242,0.9944,0.9812,0.9984
14,0.0133,0.6917,0.8617,0.9956,0.0323,0.9929,0.9761,0.9984
15,0.0121,0.6913,0.8854,0.9956,0.0239,0.9937,0.979,0.9979
16,0.0108,0.692,0.9051,0.9963,0.0325,0.9918,0.9722,0.9986
17,0.0105,0.6919,0.9217,0.9963,0.0328,0.9923,0.9737,0.9984
18,0.009,0.6922,0.9354,0.997,0.0366,0.9939,0.9796,0.9981
19,0.0086,0.6921,0.9468,0.9972,0.0299,0.9937,0.9786,0.9984
20,0.0087,0.692,0.9562,0.9969,0.0315,0.994,0.9801,0.998
21,0.0084,0.6917,0.964,0.9971,0.0309,0.9918,0.9727,0.9974
22,0.0079,0.6918,0.9705,0.9973,0.0283,0.9946,0.9818,0.9977
23,0.0069,0.692,0.9757,0.9977,0.0298,0.9938,0.9796,0.9982
24,0.0067,0.692,0.9801,0.9977,0.0341,0.9937,0.9787,0.998
25,0.0052,0.6923,0.9837,0.9983,0.0359,0.9939,0.9796,0.9983
26,0.0052,0.6924,0.9866,0.998,0.0467,0.9916,0.9714,0.9982
27,0.0049,0.6925,0.989,0.9984,0.0534,0.9903,0.9672,0.9971
28,0.0049,0.6922,0.991,0.9982,0.0372,0.9938,0.9793,0.9979
29,0.0039,0.6922,0.9926,0.9987,0.0428,0.9933,0.9774,0.9979
30,0.004,0.6919,0.994,0.9987,0.0375,0.9925,0.975,0.9976
31,0.0039,0.6925,0.9951,0.9987,0.0413,0.9941,0.9802,0.9979
32,0.0024,0.6928,0.9959,0.999,0.051,0.9936,0.9783,0.9982
33,0.0026,0.6929,0.9967,0.9991,0.0433,0.994,0.9799,0.9983
34,0.0021,0.6927,0.9973,0.9993,0.0436,0.9943,0.9808,0.9982
35,0.0024,0.6927,0.9978,0.9992,0.037,0.9941,0.9804,0.9983
36,0.002,0.6928,0.9982,0.9994,0.0419,0.9944,0.9812,0.998
37,0.0012,0.6927,0.9985,0.9996,0.0514,0.9938,0.9794,0.9976
38,0.0013,0.693,0.9988,0.9996,0.0491,0.9941,0.9803,0.9981
39,0.0014,0.6927,0.999,0.9996,0.053,0.9934,0.9777,0.9981
40,0.0007,0.6928,0.9992,0.9998,0.0506,0.9942,0.9806,0.9979
41,0.0005,0.6928,0.9993,0.9999,0.0525,0.9946,0.9819,0.9978
42,0.0005,0.6929,0.9995,0.9999,0.0561,0.994,0.98,0.9979
43,0.0004,0.693,0.9996,0.9999,0.0512,0.9942,0.9806,0.9982
44,0.0003,0.6929,0.9996,0.9999,0.0463,0.9952,0.9841,0.9981
45,0.0003,0.693,0.9997,1.0,0.0547,0.9941,0.9802,0.9981
46,0.0002,0.6931,0.9998,1.0,0.0517,0.9945,0.9815,0.9981
47,0.0003,0.6932,0.9998,1.0,0.052,0.9944,0.9812,0.9981
48,0.0003,0.6933,0.9998,1.0,0.0557,0.9944,0.9812,0.9981
49,0.0002,0.6928,0.9999,1.0,0.0584,0.9934,0.9777,0.9981
50,0.0002,0.6927,0.9999,1.0,0.0555,0.9943,0.9809,0.9981
