epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.1122,0.9657,0.063,0.9811,0.9338,0.993
2,0.0697,0.9787,0.0586,0.9839,0.9452,0.9923
3,0.0746,0.9767,0.0705,0.9792,0.9295,0.9911
4,0.0716,0.9776,0.0569,0.9827,0.9396,0.993
5,0.0753,0.9755,0.0869,0.9726,0.9027,0.9831
6,0.0922,0.9711,0.0506,0.9855,0.9501,0.9939
7,0.0607,0.981,0.0522,0.9839,0.9443,0.9933
8,0.0597,0.9817,0.0458,0.9864,0.9533,0.9947
9,0.0779,0.9754,0.1068,0.9667,0.8799,0.9733
10,0.0769,0.9764,0.0539,0.9837,0.944,0.9944
11,0.0644,0.98,0.0474,0.9856,0.9504,0.9942
12,0.1698,0.9413,0.2906,0.8961,0.5813,0.8542
13,0.2504,0.9153,0.206,0.938,0.7646,0.9042
14,0.2152,0.9272,0.3093,0.8498,0.0,0.8634
15,0.2358,0.915,0.2021,0.9371,0.7634,0.9106
16,0.2058,0.9333,0.1831,0.9442,0.7865,0.9219
17,0.1846,0.9414,0.163,0.9475,0.8125,0.942
18,0.1677,0.9451,0.151,0.9518,0.8267,0.9506
19,0.2137,0.9256,0.2672,0.9096,0.6963,0.8361
20,0.3073,0.8883,0.3056,0.9023,0.6438,0.8225
21,0.282,0.9067,0.2738,0.9121,0.655,0.838
22,0.291,0.8989,0.3358,0.863,0.2454,0.8119
23,0.3762,0.8583,0.4209,0.8498,0.0,0.5576
24,0.4197,0.8491,0.4181,0.8498,0.0,0.6052
25,0.4231,0.8491,0.4209,0.8498,0.0,0.5179
26,0.4238,0.8491,0.4228,0.8498,0.0,0.6265
27,0.3959,0.8491,0.3424,0.8498,0.0,0.8118
28,0.3533,0.853,0.3535,0.8838,0.4962,0.6391
29,0.3986,0.8553,0.2665,0.9126,0.6327,0.8577
30,0.261,0.9159,0.3794,0.8498,0.0,0.8446
31,0.2517,0.9193,0.2087,0.9389,0.753,0.8915
32,0.2149,0.9343,0.1997,0.9406,0.7708,0.8951
33,0.2331,0.9229,0.2342,0.9265,0.7055,0.8854
34,0.21,0.9354,0.1908,0.9416,0.7762,0.9062
35,0.197,0.9405,0.202,0.9439,0.7805,0.9042
36,0.1957,0.9409,0.1998,0.9378,0.7841,0.902
37,0.193,0.9416,0.1965,0.9434,0.7859,0.917
38,0.1893,0.9441,0.1917,0.9413,0.7668,0.9117
39,0.1811,0.948,0.1915,0.9494,0.7999,0.9037
40,0.174,0.95,0.1691,0.9513,0.8127,0.9014
41,0.1684,0.9517,0.1709,0.9508,0.8097,0.9095
42,0.1867,0.9422,0.1921,0.9409,0.791,0.9208
43,0.1914,0.9407,0.1683,0.9509,0.8155,0.9216
44,0.1664,0.9487,0.157,0.9522,0.8185,0.9422
45,0.1597,0.952,0.1413,0.9565,0.8395,0.9553
46,0.1512,0.9544,0.1368,0.9596,0.8503,0.9568
47,0.1521,0.9543,0.1433,0.958,0.8448,0.9541
48,0.1443,0.9562,0.1275,0.9609,0.8577,0.9576
49,0.1366,0.9597,0.13,0.9604,0.8519,0.9609
50,0.1333,0.9606,0.128,0.9624,0.8629,0.9599
