epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0439,0.9853,0.0214,0.9938,0.9793,0.9981
2,0.0218,0.9931,0.0164,0.9952,0.9842,0.9989
3,0.0183,0.9942,0.0225,0.993,0.9768,0.9987
4,0.0147,0.9951,0.0221,0.9935,0.9784,0.9988
5,0.013,0.9959,0.0149,0.9946,0.9819,0.9995
6,0.0118,0.9963,0.0244,0.9941,0.9803,0.998
7,0.01,0.9967,0.0177,0.9948,0.9826,0.9986
8,0.0093,0.9968,0.017,0.9952,0.9838,0.9989
9,0.0078,0.9973,0.0195,0.995,0.9833,0.9983
10,0.0073,0.9974,0.0267,0.9925,0.9751,0.9985
11,0.006,0.9979,0.0203,0.9944,0.9813,0.9988
12,0.0056,0.998,0.0176,0.9954,0.9848,0.9991
13,0.0048,0.9984,0.023,0.9952,0.9839,0.9985
14,0.0051,0.9981,0.0193,0.9954,0.9847,0.999
15,0.0037,0.9987,0.0258,0.9954,0.9847,0.999
16,0.0034,0.9988,0.0218,0.9959,0.9863,0.9987
17,0.004,0.9987,0.0212,0.9955,0.9851,0.9987
18,0.0041,0.9987,0.0201,0.9954,0.9848,0.9989
19,0.0035,0.9987,0.02,0.9952,0.9839,0.9994
20,0.002,0.9992,0.0273,0.9956,0.9853,0.999
21,0.0027,0.9991,0.0275,0.9949,0.9829,0.9988
22,0.0023,0.9992,0.0304,0.9945,0.9815,0.9986
23,0.0027,0.9989,0.0232,0.9949,0.9829,0.9993
24,0.0029,0.9989,0.0214,0.9964,0.9878,0.9983
25,0.0016,0.9995,0.0242,0.9956,0.9854,0.9989
26,0.002,0.9994,0.0336,0.9952,0.9837,0.9983
27,0.0022,0.9994,0.0365,0.9947,0.9821,0.9978
28,0.0024,0.9992,0.0198,0.9956,0.9853,0.999
29,0.0009,0.9997,0.0257,0.9957,0.9857,0.999
30,0.0033,0.9991,0.0261,0.9948,0.9826,0.9983
31,0.0019,0.9994,0.0271,0.9955,0.985,0.9982
32,0.001,0.9997,0.0249,0.9962,0.9872,0.9982
33,0.0017,0.9994,0.0224,0.9966,0.9885,0.9988
34,0.0016,0.9996,0.0277,0.9959,0.9863,0.9983
35,0.0013,0.9995,0.0407,0.9955,0.985,0.998
36,0.0012,0.9997,0.0263,0.9955,0.985,0.999
37,0.0017,0.9994,0.0231,0.9951,0.9836,0.9989
38,0.0017,0.9995,0.0233,0.996,0.9866,0.9987
39,0.0002,1.0,0.0253,0.9963,0.9876,0.9987
40,0.0006,0.9998,0.0302,0.9953,0.9844,0.9988
41,0.0024,0.9993,0.024,0.9955,0.9851,0.9991
42,0.001,0.9997,0.0214,0.9966,0.9885,0.9993
43,0.0003,0.9999,0.0273,0.9956,0.9855,0.9993
44,0.0021,0.9994,0.0263,0.9961,0.9869,0.9988
45,0.0012,0.9997,0.0261,0.9958,0.986,0.999
46,0.0004,0.9999,0.0264,0.996,0.9866,0.9991
47,0.0008,0.9998,0.0305,0.9957,0.9857,0.9989
48,0.0005,0.9998,0.0294,0.9955,0.985,0.9989
49,0.0025,0.9992,0.0263,0.9962,0.9872,0.9987
50,0.0005,0.9999,0.0286,0.996,0.9866,0.9987
