epoch,train_loss,domain_loss,alpha,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0608,0.449,0.0,0.9818,0.0238,0.9928,0.9754,0.9981
2,0.0391,0.7119,0.0997,0.9881,0.0409,0.9884,0.9601,0.996
3,0.0316,0.6863,0.1974,0.9907,0.0243,0.9933,0.977,0.9988
4,0.0271,0.6877,0.2913,0.9914,0.0213,0.9931,0.9763,0.9988
5,0.026,0.6888,0.3799,0.9923,0.028,0.9905,0.967,0.9986
6,0.0224,0.6889,0.4621,0.9931,0.0197,0.9944,0.981,0.9987
7,0.0204,0.6897,0.537,0.9938,0.02,0.9946,0.9817,0.9991
8,0.019,0.6904,0.6044,0.9942,0.0264,0.9915,0.9708,0.9988
9,0.0168,0.6915,0.664,0.9946,0.0208,0.9943,0.9807,0.9988
10,0.016,0.6914,0.7163,0.9948,0.0242,0.9937,0.9782,0.999
11,0.0155,0.6921,0.7616,0.9948,0.0261,0.9933,0.9769,0.999
12,0.014,0.6924,0.8005,0.9951,0.0214,0.9945,0.9812,0.9989
13,0.0131,0.6917,0.8337,0.9957,0.0256,0.9935,0.9777,0.9989
14,0.0119,0.6924,0.8617,0.9958,0.0281,0.9924,0.9736,0.9988
15,0.0122,0.6925,0.8854,0.9959,0.0266,0.9938,0.9786,0.9986
16,0.0101,0.6922,0.9051,0.9966,0.0479,0.9897,0.9639,0.9985
17,0.0104,0.6924,0.9217,0.9967,0.0173,0.995,0.9828,0.9994
18,0.0096,0.6923,0.9354,0.9965,0.0217,0.9953,0.9841,0.9989
19,0.0091,0.6921,0.9468,0.9969,0.035,0.9898,0.9649,0.9988
20,0.0089,0.6921,0.9562,0.9971,0.0231,0.9952,0.9838,0.9988
21,0.0079,0.6921,0.964,0.9973,0.0195,0.9954,0.9845,0.999
22,0.0066,0.6923,0.9705,0.9977,0.0394,0.9909,0.9682,0.9987
23,0.007,0.6922,0.9757,0.9976,0.0193,0.9952,0.9836,0.999
24,0.0066,0.692,0.9801,0.9976,0.0295,0.9939,0.9793,0.9993
25,0.0065,0.6919,0.9837,0.9977,0.0237,0.9949,0.9826,0.9991
26,0.0056,0.6923,0.9866,0.9982,0.0238,0.995,0.9829,0.999
27,0.005,0.6926,0.989,0.9982,0.0251,0.9938,0.9794,0.9991
28,0.0055,0.6924,0.991,0.998,0.0231,0.9956,0.9851,0.9992
29,0.0045,0.6919,0.9926,0.9984,0.0252,0.9957,0.9854,0.9989
30,0.0041,0.6925,0.994,0.9985,0.0303,0.9952,0.9838,0.9989
31,0.0042,0.692,0.9951,0.9986,0.0243,0.9949,0.9826,0.9988
32,0.0036,0.6923,0.9959,0.9987,0.0338,0.995,0.9828,0.999
33,0.0031,0.6929,0.9967,0.999,0.0491,0.9924,0.9736,0.9988
34,0.0027,0.6925,0.9973,0.999,0.0301,0.9952,0.9837,0.9988
35,0.0027,0.6922,0.9978,0.9991,0.0307,0.9952,0.9837,0.9989
36,0.0018,0.6928,0.9982,0.9994,0.0319,0.9953,0.9841,0.9989
37,0.0019,0.6923,0.9985,0.9993,0.0262,0.9961,0.9867,0.999
38,0.0017,0.6927,0.9988,0.9995,0.0277,0.9952,0.9835,0.9992
39,0.0012,0.6927,0.999,0.9995,0.0278,0.9964,0.9876,0.9989
40,0.001,0.6929,0.9992,0.9997,0.0299,0.996,0.9863,0.999
41,0.0009,0.6929,0.9993,0.9997,0.0297,0.9957,0.9854,0.9989
42,0.0008,0.6932,0.9995,0.9999,0.0408,0.9938,0.9785,0.9989
43,0.0004,0.6928,0.9996,0.9999,0.035,0.9954,0.9844,0.9988
44,0.0005,0.6931,0.9996,0.9999,0.0362,0.9952,0.9837,0.999
45,0.0004,0.6931,0.9997,1.0,0.0322,0.9952,0.9837,0.999
46,0.0004,0.6929,0.9998,1.0,0.0391,0.9947,0.9818,0.9989
47,0.0004,0.6931,0.9998,0.9999,0.0424,0.9937,0.9782,0.9989
48,0.0003,0.6931,0.9998,0.9999,0.0553,0.9923,0.9732,0.9989
49,0.0002,0.6932,0.9999,1.0,0.0422,0.9938,0.9789,0.9988
50,0.0003,0.6932,0.9999,0.9999,0.0411,0.9943,0.9805,0.9989
