epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.1033,0.9677,0.0415,0.9861,0.9531,0.9959
2,0.0474,0.9856,0.0308,0.9901,0.9671,0.9982
3,0.0372,0.9879,0.0319,0.9895,0.9651,0.9976
4,0.0327,0.9892,0.031,0.9901,0.9672,0.9982
5,0.0299,0.9902,0.0284,0.9907,0.969,0.9988
6,0.0259,0.9914,0.0271,0.9908,0.9695,0.9986
7,0.0238,0.992,0.0264,0.9922,0.974,0.9987
8,0.0217,0.9925,0.0263,0.9923,0.9744,0.9989
9,0.0204,0.9931,0.0277,0.9914,0.9717,0.9983
10,0.0177,0.9938,0.0281,0.9909,0.9701,0.9989
11,0.0173,0.9942,0.0265,0.9919,0.9733,0.9987
12,0.0164,0.9945,0.0258,0.9927,0.9759,0.9987
13,0.0145,0.9949,0.0301,0.9916,0.9723,0.9985
14,0.0144,0.9951,0.0314,0.9925,0.9752,0.998
15,0.0141,0.9953,0.0286,0.9925,0.9755,0.9984
16,0.0117,0.9961,0.0319,0.9921,0.9741,0.9982
17,0.0125,0.9955,0.026,0.9936,0.9788,0.9986
18,0.0119,0.996,0.0294,0.993,0.9771,0.9986
19,0.0117,0.9959,0.0279,0.9932,0.9774,0.9988
20,0.0114,0.9964,0.0286,0.9923,0.9745,0.9986
21,0.0106,0.9964,0.0298,0.9927,0.9762,0.9984
22,0.0098,0.9968,0.0324,0.992,0.9736,0.9987
23,0.0101,0.9965,0.0313,0.9925,0.9752,0.9983
24,0.0095,0.9966,0.0274,0.9929,0.9769,0.9987
25,0.0116,0.9968,0.0272,0.9933,0.9779,0.9987
26,0.0095,0.9967,0.0284,0.9938,0.9797,0.9986
27,0.0092,0.997,0.0294,0.9932,0.9775,0.9985
28,0.0076,0.9973,0.0296,0.9945,0.9819,0.9982
29,0.0076,0.9973,0.0353,0.9929,0.9767,0.9978
30,0.0087,0.9971,0.034,0.9925,0.9758,0.9981
31,0.0077,0.9974,0.0344,0.9925,0.975,0.9983
32,0.0077,0.9977,0.0321,0.9938,0.9797,0.9983
33,0.008,0.9973,0.0309,0.994,0.9804,0.9983
34,0.0079,0.9973,0.0331,0.9934,0.9782,0.9982
35,0.0068,0.9977,0.0375,0.9929,0.9766,0.998
36,0.0068,0.9977,0.0335,0.9939,0.98,0.9983
37,0.0083,0.9974,0.0317,0.9939,0.98,0.9985
38,0.0066,0.9975,0.0316,0.9935,0.9786,0.9988
39,0.0064,0.998,0.0306,0.9941,0.9806,0.9983
40,0.0059,0.9978,0.0362,0.9938,0.9794,0.9981
41,0.0063,0.9979,0.0351,0.9947,0.9826,0.9981
42,0.0068,0.998,0.0388,0.9933,0.9778,0.9981
43,0.0063,0.9977,0.0359,0.9938,0.9794,0.998
44,0.0059,0.9979,0.0356,0.9929,0.9768,0.9979
45,0.0058,0.9981,0.0361,0.9938,0.9797,0.9979
46,0.0057,0.998,0.0312,0.9944,0.9816,0.9983
47,0.0065,0.9978,0.0353,0.9936,0.9787,0.9982
48,0.0059,0.9981,0.0333,0.9931,0.9773,0.9981
49,0.0044,0.9984,0.0353,0.9937,0.9792,0.9981
50,0.0051,0.9983,0.0361,0.9934,0.9781,0.9984
