epoch,train_loss,domain_loss,alpha,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.06,0.4293,0.0,0.982,0.0914,0.9775,0.9177,0.996
2,0.0384,0.6998,0.0997,0.988,0.0353,0.9905,0.9669,0.9977
3,0.0304,0.6844,0.1974,0.9909,0.0352,0.9892,0.9624,0.9978
4,0.0271,0.6882,0.2913,0.9914,0.0323,0.9902,0.9662,0.9975
5,0.0247,0.6888,0.3799,0.9922,0.0338,0.9887,0.9619,0.9979
6,0.0214,0.689,0.4621,0.993,0.0331,0.991,0.969,0.9979
7,0.02,0.6895,0.537,0.9934,0.0556,0.9858,0.9499,0.9976
8,0.0186,0.6912,0.6044,0.994,0.025,0.9923,0.9739,0.9981
9,0.0172,0.6911,0.664,0.9945,0.0321,0.9909,0.9689,0.9976
10,0.0161,0.6914,0.7163,0.9948,0.0308,0.9912,0.9697,0.9985
11,0.0148,0.6915,0.7616,0.9952,0.0327,0.992,0.9723,0.9981
12,0.0142,0.6915,0.8005,0.9953,0.0233,0.9938,0.9788,0.999
13,0.0128,0.6919,0.8337,0.9957,0.0361,0.9916,0.9712,0.9972
14,0.0125,0.6922,0.8617,0.996,0.0253,0.9927,0.9752,0.9986
15,0.0109,0.6918,0.8854,0.9962,0.0346,0.9919,0.9724,0.9982
16,0.0103,0.6919,0.9051,0.9963,0.0342,0.992,0.9723,0.9981
17,0.0104,0.6919,0.9217,0.9964,0.0335,0.9915,0.9709,0.9979
18,0.0094,0.6922,0.9354,0.9968,0.0389,0.9901,0.9658,0.9987
19,0.0089,0.6923,0.9468,0.9969,0.0333,0.9935,0.9778,0.9983
20,0.0086,0.6922,0.9562,0.9968,0.0407,0.9925,0.974,0.9984
21,0.0077,0.6923,0.964,0.9974,0.032,0.993,0.9759,0.9984
22,0.0076,0.6922,0.9705,0.9973,0.0384,0.991,0.9686,0.9986
23,0.0073,0.6923,0.9757,0.9976,0.0355,0.9918,0.9718,0.998
24,0.0061,0.6926,0.9801,0.9976,0.0417,0.9915,0.9709,0.9982
25,0.0064,0.692,0.9837,0.9977,0.0349,0.993,0.9759,0.998
26,0.0054,0.692,0.9866,0.9982,0.0344,0.992,0.9729,0.998
27,0.0059,0.6917,0.989,0.998,0.0378,0.9923,0.9732,0.9983
28,0.0051,0.6921,0.991,0.9981,0.0344,0.9937,0.9784,0.9982
29,0.0048,0.6923,0.9926,0.9983,0.0343,0.9933,0.977,0.9987
30,0.0046,0.6924,0.994,0.9983,0.0364,0.9932,0.9767,0.9978
31,0.0037,0.6923,0.9951,0.9986,0.039,0.9933,0.9771,0.9979
32,0.0032,0.6925,0.9959,0.9987,0.0443,0.9931,0.9762,0.9985
33,0.0029,0.693,0.9967,0.9989,0.0478,0.9919,0.9721,0.9979
34,0.0026,0.6925,0.9973,0.9992,0.0387,0.9934,0.9775,0.9982
35,0.0023,0.6927,0.9978,0.999,0.0423,0.9931,0.9767,0.9987
36,0.0023,0.6925,0.9982,0.9992,0.0452,0.9935,0.9777,0.998
37,0.0019,0.6924,0.9985,0.9993,0.0449,0.9933,0.9771,0.9978
38,0.0019,0.6928,0.9988,0.9993,0.0494,0.9922,0.9732,0.998
39,0.0014,0.6927,0.999,0.9995,0.0536,0.9912,0.9698,0.9983
40,0.0011,0.6928,0.9992,0.9996,0.048,0.9924,0.9738,0.998
41,0.0009,0.6928,0.9993,0.9997,0.0507,0.9922,0.9731,0.9983
42,0.0008,0.6929,0.9995,0.9998,0.0536,0.9921,0.9727,0.9984
43,0.0005,0.6928,0.9996,0.9999,0.0534,0.9917,0.9714,0.9984
44,0.0005,0.693,0.9996,0.9999,0.0499,0.9927,0.975,0.9985
45,0.0003,0.693,0.9997,1.0,0.0551,0.9926,0.9747,0.9984
46,0.0003,0.6929,0.9998,1.0,0.0542,0.992,0.9724,0.9984
47,0.0004,0.6931,0.9998,0.9999,0.0513,0.9926,0.9747,0.9984
48,0.0003,0.693,0.9998,1.0,0.0546,0.9925,0.9743,0.9984
49,0.0003,0.6931,0.9999,1.0,0.0511,0.9929,0.9757,0.9984
50,0.0003,0.6931,0.9999,1.0,0.0552,0.9919,0.972,0.9984
