epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.5157,0.7789,0.4333,0.8471,0.0,0.5245
2,0.1958,0.9322,0.0676,0.979,0.929,0.9887
3,0.075,0.978,0.0727,0.979,0.9272,0.9913
4,0.062,0.9809,0.0506,0.9865,0.9548,0.9929
5,0.0524,0.9842,0.0653,0.9817,0.942,0.9937
6,0.0509,0.9853,0.0452,0.9867,0.9549,0.9948
7,0.0452,0.9871,0.0339,0.9897,0.9663,0.9963
8,0.0389,0.9892,0.0408,0.9878,0.9606,0.9963
9,0.0354,0.99,0.03,0.9918,0.9726,0.9967
10,0.0367,0.9897,0.0364,0.9898,0.9667,0.996
11,0.0306,0.9913,0.033,0.9903,0.968,0.9964
12,0.03,0.9921,0.0316,0.9894,0.9645,0.9978
13,0.028,0.9919,0.0245,0.9925,0.9752,0.9981
14,0.0281,0.9923,0.0386,0.991,0.9704,0.9968
15,0.0315,0.9914,0.0317,0.9898,0.967,0.9974
16,0.0266,0.9925,0.0268,0.9936,0.9787,0.9964
17,0.0278,0.9929,0.0307,0.9909,0.9701,0.9979
18,0.0264,0.9931,0.028,0.9925,0.9751,0.9979
19,0.0249,0.9933,0.0284,0.9914,0.9714,0.9982
20,0.0258,0.9928,0.026,0.9925,0.9756,0.9983
21,0.0247,0.9931,0.0275,0.9931,0.9773,0.9979
22,0.0225,0.9941,0.0296,0.9919,0.9736,0.9985
23,0.0214,0.9943,0.027,0.9922,0.9743,0.9978
24,0.0199,0.9947,0.0268,0.9929,0.9766,0.9986
25,0.0192,0.995,0.0249,0.9942,0.9811,0.9977
26,0.0188,0.9954,0.0262,0.9943,0.9814,0.9972
27,0.0186,0.9953,0.0269,0.9941,0.9807,0.998
28,0.0184,0.9953,0.0309,0.9934,0.9783,0.9982
29,0.017,0.9956,0.0287,0.9941,0.9806,0.9982
30,0.0134,0.9966,0.0282,0.9935,0.9786,0.9987
31,0.013,0.9968,0.028,0.9938,0.9794,0.9974
32,0.0122,0.9969,0.0262,0.9938,0.9795,0.9987
33,0.01,0.9974,0.0274,0.9936,0.9788,0.9975
34,0.0088,0.9976,0.0263,0.9949,0.9832,0.9983
35,0.007,0.9984,0.0344,0.9937,0.9793,0.9978
36,0.0063,0.9985,0.0309,0.9945,0.9819,0.9975
37,0.0047,0.9989,0.0382,0.994,0.9805,0.9974
38,0.0039,0.9991,0.038,0.994,0.9805,0.9981
39,0.0037,0.9992,0.0449,0.9934,0.9782,0.9977
40,0.0036,0.9992,0.0359,0.9941,0.9808,0.9982
41,0.0018,0.9996,0.0402,0.9938,0.9799,0.9983
42,0.0016,0.9997,0.038,0.9947,0.9826,0.9975
43,0.0016,0.9997,0.0365,0.9945,0.982,0.9981
44,0.0012,0.9998,0.0411,0.9942,0.9811,0.9984
45,0.0007,0.9999,0.0417,0.9942,0.9811,0.9974
46,0.0005,0.9999,0.0427,0.9942,0.9811,0.9972
47,0.0004,0.9999,0.0417,0.9942,0.9811,0.9977
48,0.0004,0.9999,0.0442,0.9944,0.9817,0.9969
49,0.0004,0.9999,0.0432,0.9946,0.9823,0.9971
50,0.0004,0.9999,0.0423,0.9944,0.9817,0.9968
