epoch,train_loss,domain_loss,alpha,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0629,0.4313,0.0,0.9802,0.0435,0.9873,0.9558,0.9957
2,0.039,0.7139,0.0997,0.9881,0.0275,0.9932,0.9771,0.9965
3,0.0304,0.6858,0.1974,0.9909,0.0304,0.991,0.9691,0.9976
4,0.0262,0.6882,0.2913,0.992,0.0314,0.9915,0.971,0.9967
5,0.0238,0.6895,0.3799,0.9929,0.0397,0.9912,0.9701,0.9961
6,0.0209,0.6903,0.4621,0.9937,0.0401,0.9906,0.9676,0.9977
7,0.0191,0.6903,0.537,0.9937,0.0325,0.9912,0.9706,0.998
8,0.0184,0.691,0.6044,0.9939,0.0348,0.9916,0.9713,0.998
9,0.0159,0.6912,0.664,0.9951,0.028,0.9932,0.9769,0.9981
10,0.0153,0.6921,0.7163,0.9952,0.0459,0.9889,0.9618,0.997
11,0.0146,0.6916,0.7616,0.9952,0.0526,0.9857,0.9501,0.9978
12,0.0131,0.692,0.8005,0.9954,0.0318,0.9925,0.9743,0.9979
13,0.0122,0.6921,0.8337,0.9957,0.0464,0.9895,0.9638,0.9975
14,0.0121,0.692,0.8617,0.9957,0.0303,0.9925,0.9745,0.998
15,0.0113,0.692,0.8854,0.9962,0.0317,0.9924,0.9742,0.998
16,0.01,0.6922,0.9051,0.9965,0.0405,0.9916,0.9715,0.9972
17,0.0103,0.6921,0.9217,0.9965,0.0417,0.992,0.9726,0.9978
18,0.0087,0.6921,0.9354,0.9969,0.044,0.9902,0.9671,0.9976
19,0.0081,0.6923,0.9468,0.9971,0.0485,0.9897,0.9646,0.9976
20,0.0086,0.6919,0.9562,0.9971,0.0642,0.9863,0.9525,0.9969
21,0.0072,0.6922,0.964,0.9975,0.0357,0.991,0.9701,0.9982
22,0.0077,0.6925,0.9705,0.9974,0.0355,0.9923,0.9741,0.9972
23,0.0069,0.6918,0.9757,0.9976,0.0374,0.9916,0.9717,0.998
24,0.0061,0.692,0.9801,0.9978,0.0384,0.9926,0.9751,0.9975
25,0.0062,0.6922,0.9837,0.9977,0.0508,0.9911,0.9697,0.9974
26,0.0052,0.6924,0.9866,0.998,0.0422,0.992,0.9728,0.9981
27,0.005,0.6923,0.989,0.9983,0.0412,0.9935,0.9778,0.9978
28,0.0053,0.6925,0.991,0.998,0.0523,0.9898,0.965,0.9984
29,0.0047,0.6925,0.9926,0.9984,0.0401,0.9921,0.9732,0.998
30,0.0033,0.6922,0.994,0.9988,0.0456,0.9936,0.9782,0.998
31,0.0035,0.6922,0.9951,0.9988,0.0532,0.9915,0.9711,0.9979
32,0.0035,0.6924,0.9959,0.9987,0.042,0.9932,0.977,0.9981
33,0.0029,0.6927,0.9967,0.9988,0.036,0.9927,0.9756,0.9982
34,0.0025,0.6924,0.9973,0.9991,0.0335,0.994,0.9798,0.9987
35,0.0024,0.6925,0.9978,0.9992,0.0475,0.9932,0.9769,0.9981
36,0.0015,0.6925,0.9982,0.9995,0.0542,0.992,0.9726,0.9986
37,0.0016,0.6926,0.9985,0.9994,0.0507,0.9932,0.9769,0.9985
38,0.0016,0.6926,0.9988,0.9994,0.0457,0.9933,0.9774,0.9982
39,0.0011,0.6927,0.999,0.9996,0.0598,0.9918,0.972,0.9981
40,0.0009,0.6928,0.9992,0.9997,0.0463,0.9938,0.9792,0.998
41,0.0005,0.6928,0.9993,0.9999,0.0646,0.9922,0.9735,0.9979
42,0.0007,0.6927,0.9995,0.9998,0.0671,0.9925,0.9743,0.998
43,0.0005,0.6928,0.9996,0.9999,0.0533,0.9931,0.9766,0.9983
44,0.0004,0.6926,0.9996,0.9999,0.0629,0.9927,0.9753,0.9981
45,0.0004,0.6928,0.9997,0.9999,0.0622,0.9926,0.975,0.9982
46,0.0003,0.6928,0.9998,1.0,0.0577,0.993,0.9763,0.9982
47,0.0003,0.6929,0.9998,1.0,0.0602,0.993,0.9763,0.9982
48,0.0002,0.6929,0.9998,1.0,0.0652,0.9924,0.974,0.9981
49,0.0003,0.693,0.9999,1.0,0.0594,0.9928,0.9757,0.9981
50,0.0003,0.693,0.9999,1.0,0.0578,0.9932,0.9769,0.9982
