epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.1077,0.9614,0.0437,0.9868,0.9553,0.9954
2,0.0478,0.9861,0.0408,0.9898,0.9649,0.9948
3,0.0335,0.9903,0.0315,0.9918,0.9718,0.9972
4,0.0265,0.9919,0.0377,0.9911,0.9692,0.9954
5,0.0255,0.9928,0.0314,0.9899,0.9654,0.9977
6,0.0202,0.9942,0.0239,0.9939,0.9793,0.998
7,0.0157,0.9952,0.0256,0.9935,0.9781,0.9977
8,0.0151,0.9953,0.0237,0.9933,0.9775,0.9977
9,0.0139,0.9959,0.0266,0.9925,0.9749,0.9967
10,0.012,0.9963,0.03,0.9939,0.9794,0.9959
11,0.0103,0.9967,0.026,0.9938,0.9793,0.9977
12,0.0098,0.9968,0.022,0.9938,0.9794,0.9977
13,0.0098,0.9968,0.0255,0.9947,0.982,0.9955
14,0.0077,0.9974,0.0244,0.9936,0.9783,0.9978
15,0.0088,0.9972,0.0242,0.9942,0.9806,0.9966
16,0.0077,0.9976,0.0233,0.9953,0.9843,0.9973
17,0.0069,0.9978,0.0248,0.9944,0.9813,0.9971
18,0.0067,0.9979,0.0292,0.9941,0.9802,0.998
19,0.0058,0.9981,0.0282,0.9933,0.9774,0.9977
20,0.0058,0.9979,0.0213,0.9951,0.9833,0.9989
21,0.0046,0.9983,0.0355,0.9926,0.9755,0.998
22,0.0053,0.9982,0.0257,0.9958,0.9858,0.9958
23,0.0058,0.9983,0.0249,0.9953,0.9843,0.9977
24,0.0052,0.9982,0.0309,0.9932,0.9773,0.9976
25,0.004,0.9987,0.0255,0.994,0.98,0.9985
26,0.0036,0.9989,0.028,0.9939,0.9796,0.997
27,0.0032,0.9992,0.0351,0.9935,0.9783,0.9979
28,0.0026,0.9991,0.0322,0.995,0.983,0.9969
29,0.0026,0.9992,0.0282,0.9949,0.9828,0.9975
30,0.0015,0.9995,0.0309,0.9952,0.9837,0.9966
31,0.0024,0.9992,0.0282,0.9948,0.9824,0.9981
32,0.0019,0.9994,0.0291,0.9948,0.9823,0.9972
33,0.0014,0.9995,0.0306,0.9953,0.9843,0.9966
34,0.0009,0.9997,0.0345,0.9954,0.9845,0.9978
35,0.0009,0.9997,0.0362,0.9951,0.9834,0.9966
36,0.0007,0.9998,0.0355,0.9952,0.9836,0.9955
37,0.0001,1.0,0.035,0.9958,0.9859,0.9963
38,0.0002,1.0,0.0375,0.9954,0.9846,0.9966
39,nan,0.9293,nan,0.8511,0.0,0.0
40,nan,0.8488,nan,0.8511,0.0,0.0
41,nan,0.8488,nan,0.8511,0.0,0.0
42,nan,0.8488,nan,0.8511,0.0,0.0
43,nan,0.8488,nan,0.8511,0.0,0.0
44,nan,0.8488,nan,0.8511,0.0,0.0
45,nan,0.8488,nan,0.8511,0.0,0.0
46,nan,0.8488,nan,0.8511,0.0,0.0
47,nan,0.8488,nan,0.8511,0.0,0.0
48,nan,0.8488,nan,0.8511,0.0,0.0
49,nan,0.8488,nan,0.8511,0.0,0.0
50,nan,0.8488,nan,0.8511,0.0,0.0
