epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.1147,0.9547,0.0375,0.9898,0.9658,0.9941
2,0.0461,0.9871,0.0357,0.9887,0.963,0.998
3,0.0365,0.9894,0.0319,0.9917,0.9722,0.9973
4,0.0291,0.9915,0.0255,0.992,0.9732,0.9984
5,0.0234,0.993,0.0173,0.9947,0.9822,0.9992
6,0.0202,0.9941,0.0241,0.9934,0.978,0.9971
7,0.0165,0.9951,0.0167,0.9952,0.9838,0.9993
8,0.015,0.9953,0.0195,0.9948,0.9824,0.9992
9,0.0142,0.9957,0.0247,0.9929,0.9764,0.9974
10,0.0126,0.9962,0.0214,0.9939,0.9798,0.9991
11,0.0115,0.9964,0.0197,0.9953,0.9844,0.9984
12,0.0103,0.9968,0.0153,0.9954,0.9847,0.9992
13,0.0094,0.9971,0.0232,0.9941,0.9806,0.9993
14,0.0085,0.9973,0.018,0.9949,0.983,0.9993
15,0.0079,0.9975,0.0167,0.9956,0.9853,0.9986
16,0.0071,0.9975,0.0159,0.9952,0.9843,0.9991
17,0.007,0.9975,0.0232,0.9955,0.985,0.9983
18,0.0062,0.9979,0.0184,0.9952,0.9838,0.9993
19,0.0055,0.998,0.021,0.9958,0.986,0.9985
20,0.0059,0.998,0.0176,0.9952,0.9841,0.9993
21,0.0049,0.9985,0.0199,0.9957,0.9857,0.9983
22,0.0049,0.9985,0.0232,0.995,0.9833,0.999
23,0.0049,0.9985,0.0256,0.9947,0.9822,0.9982
24,0.0045,0.9986,0.016,0.9955,0.9851,0.9988
25,0.0038,0.9988,0.021,0.9942,0.9809,0.9992
26,0.0029,0.9991,0.032,0.9952,0.9837,0.9958
27,0.0035,0.9988,0.0218,0.9952,0.9838,0.9981
28,0.002,0.9992,0.0243,0.9954,0.9847,0.998
29,0.0022,0.9994,0.0274,0.9939,0.9799,0.9986
30,0.0022,0.9993,0.0255,0.9952,0.984,0.9982
31,0.0017,0.9996,0.0249,0.9963,0.9875,0.9985
32,0.0014,0.9995,0.0218,0.9953,0.9845,0.9992
33,0.0011,0.9996,0.028,0.996,0.9866,0.9965
34,0.0009,0.9998,0.0242,0.9956,0.9853,0.9987
35,0.0014,0.9996,0.0319,0.9954,0.9847,0.9992
36,0.0006,0.9998,0.0314,0.9961,0.9869,0.9975
37,0.0002,0.9999,0.0325,0.9957,0.9857,0.9935
38,0.0003,0.9999,0.0323,0.9961,0.9869,0.9954
39,0.0001,1.0,0.0359,0.996,0.9866,0.9947
40,0.0001,1.0,0.0384,0.9962,0.9872,0.9935
41,0.0,1.0,0.0414,0.9956,0.9854,0.9937
42,0.0001,1.0,0.0444,0.9955,0.9851,0.9933
43,0.0,1.0,0.047,0.9952,0.9842,0.9927
44,0.0002,1.0,0.0468,0.9952,0.9841,0.9918
45,0.0,1.0,0.0456,0.9952,0.9838,0.9917
46,0.0001,1.0,0.0458,0.9953,0.9844,0.9923
47,0.0,1.0,0.0473,0.9953,0.9845,0.9927
48,0.0,1.0,0.0466,0.9954,0.9848,0.9922
49,0.0,1.0,0.047,0.9953,0.9845,0.993
50,0.0,1.0,0.0469,0.9954,0.9848,0.9926
