epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.097,0.9683,0.093,0.971,0.8958,0.9924
2,0.0728,0.9767,0.0604,0.9812,0.9351,0.9945
3,0.0687,0.9782,0.0443,0.987,0.9559,0.996
4,0.0785,0.9734,0.0605,0.9813,0.9365,0.9931
5,0.0718,0.977,0.0454,0.9865,0.9552,0.9958
6,0.0634,0.9804,0.052,0.9829,0.9431,0.9946
7,0.0746,0.976,0.0996,0.9681,0.8972,0.9881
8,0.0981,0.968,0.0535,0.9836,0.9449,0.9948
9,0.0761,0.975,0.0624,0.9783,0.9291,0.9925
10,0.0949,0.969,0.0652,0.9805,0.9343,0.9916
11,0.1503,0.9489,0.2297,0.9285,0.7076,0.9358
12,0.1778,0.9362,0.1137,0.9573,0.859,0.9802
13,0.1454,0.9486,0.1063,0.9623,0.876,0.984
14,0.114,0.9614,0.0924,0.9703,0.8967,0.9857
15,0.1017,0.9664,0.0746,0.9749,0.9155,0.9917
16,0.1026,0.966,0.0825,0.9718,0.8998,0.9909
17,0.1062,0.9635,0.0728,0.976,0.9165,0.9934
18,0.0871,0.9711,0.0669,0.9776,0.9274,0.9945
19,0.0891,0.9703,0.0639,0.9786,0.9257,0.9937
20,0.0759,0.9748,0.0523,0.9828,0.9416,0.9953
21,0.0678,0.9779,0.0627,0.9803,0.9333,0.9938
22,0.0743,0.9757,0.066,0.9779,0.923,0.9944
23,0.0782,0.9749,0.0561,0.981,0.9372,0.9952
24,0.0797,0.9737,0.0496,0.9844,0.9486,0.9955
25,0.071,0.9774,0.0656,0.9779,0.9242,0.9937
26,0.0998,0.9676,0.0604,0.9792,0.9287,0.9928
27,0.0763,0.975,0.0549,0.9815,0.9383,0.9949
28,0.0718,0.9776,0.058,0.9797,0.9333,0.9948
29,0.254,0.9061,0.3784,0.8559,0.167,0.7375
30,0.3743,0.8542,0.3667,0.8436,0.0636,0.7718
31,0.373,0.85,0.3405,0.8364,0.2496,0.7899
32,0.3819,0.8489,0.3552,0.8472,0.0,0.7875
33,0.3696,0.8525,0.4415,0.847,0.0,0.6692
34,0.4004,0.8515,0.3363,0.8617,0.2632,0.8145
35,0.3077,0.8821,0.2618,0.904,0.598,0.8735
36,0.252,0.9134,0.2317,0.9227,0.7321,0.898
37,0.218,0.9306,0.1776,0.9422,0.7868,0.9287
38,0.2017,0.9329,0.1781,0.9404,0.791,0.9396
39,0.1906,0.9371,0.1603,0.9526,0.8334,0.9419
40,0.1661,0.9487,0.1478,0.9555,0.8413,0.9521
41,0.1849,0.9407,0.1582,0.9522,0.8302,0.9474
42,0.1721,0.9453,0.1523,0.9528,0.8363,0.9528
43,0.169,0.9459,0.1339,0.9571,0.842,0.9618
44,0.1502,0.9535,0.1255,0.9623,0.8623,0.9614
45,0.1536,0.953,0.1325,0.9592,0.8502,0.9613
46,0.1808,0.9421,0.1561,0.9515,0.8374,0.9526
47,0.1567,0.953,0.115,0.9675,0.8865,0.9653
48,0.1456,0.9565,0.1163,0.9654,0.8795,0.9686
49,0.1343,0.96,0.1077,0.9678,0.8844,0.9752
50,0.1279,0.9613,0.0938,0.972,0.9008,0.9793
