epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0715,0.9766,0.0472,0.986,0.9534,0.9956
2,0.0374,0.9888,0.032,0.9915,0.9707,0.9968
3,0.0289,0.9915,0.0326,0.9909,0.9682,0.9968
4,0.0247,0.9927,0.0232,0.993,0.9759,0.9983
5,0.0208,0.9938,0.0243,0.9933,0.977,0.9979
6,0.0177,0.9943,0.0215,0.9943,0.9805,0.998
7,0.0152,0.9952,0.0198,0.995,0.9827,0.9986
8,0.0142,0.9958,0.0196,0.994,0.9796,0.9991
9,0.0123,0.9963,0.0261,0.9934,0.9771,0.9985
10,0.0122,0.9961,0.0228,0.9929,0.9759,0.9985
11,0.0116,0.9965,0.0251,0.9923,0.9741,0.9993
12,0.0088,0.9972,0.0154,0.9959,0.986,0.9994
13,0.0087,0.9971,0.0209,0.9949,0.9824,0.9987
14,0.0082,0.9971,0.0224,0.9947,0.982,0.9981
15,0.0068,0.9977,0.0225,0.9938,0.9792,0.9985
16,0.0062,0.9979,0.0188,0.9949,0.9825,0.998
17,0.0065,0.9979,0.0201,0.9952,0.9834,0.9986
18,0.0071,0.9976,0.0211,0.9955,0.9848,0.9981
19,0.0048,0.9985,0.0291,0.9936,0.9783,0.9977
20,0.0055,0.9981,0.0249,0.9953,0.9841,0.9981
21,0.0046,0.9985,0.0193,0.9952,0.9835,0.9993
22,0.0045,0.9986,0.019,0.9959,0.9861,0.999
23,0.0035,0.9987,0.0238,0.9956,0.9851,0.999
24,0.0036,0.9987,0.0263,0.9957,0.9853,0.9979
25,0.0027,0.9991,0.023,0.9954,0.9844,0.9987
26,0.0023,0.9992,0.0336,0.9947,0.9819,0.9974
27,0.0025,0.9991,0.0294,0.9945,0.9813,0.9978
28,0.003,0.9991,0.0375,0.9944,0.9807,0.9966
29,0.0023,0.9992,0.0225,0.9956,0.9851,0.9988
30,0.0015,0.9994,0.0284,0.9957,0.9853,0.9978
31,0.0014,0.9995,0.0299,0.9943,0.9808,0.9979
32,0.0015,0.9994,0.0273,0.9957,0.9855,0.9984
33,0.0008,0.9997,0.0312,0.9951,0.9831,0.9977
34,0.0008,0.9997,0.0377,0.9951,0.9832,0.9959
35,nan,0.8683,nan,0.8528,0.0,0.0
36,nan,0.8485,nan,0.8528,0.0,0.0
37,nan,0.8485,nan,0.8528,0.0,0.0
38,nan,0.8485,nan,0.8528,0.0,0.0
39,nan,0.8485,nan,0.8528,0.0,0.0
40,nan,0.8485,nan,0.8528,0.0,0.0
41,nan,0.8485,nan,0.8528,0.0,0.0
42,nan,0.8485,nan,0.8528,0.0,0.0
43,nan,0.8485,nan,0.8528,0.0,0.0
44,nan,0.8485,nan,0.8528,0.0,0.0
45,nan,0.8485,nan,0.8528,0.0,0.0
46,nan,0.8485,nan,0.8528,0.0,0.0
47,nan,0.8485,nan,0.8528,0.0,0.0
48,nan,0.8485,nan,0.8528,0.0,0.0
49,nan,0.8485,nan,0.8528,0.0,0.0
50,nan,0.8485,nan,0.8528,0.0,0.0
