epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0756,0.975,0.0301,0.9908,0.9681,0.9983
2,0.0405,0.9876,0.0232,0.9924,0.9738,0.9991
3,0.0289,0.9916,0.0186,0.9939,0.9795,0.9994
4,0.0261,0.9923,0.0167,0.9948,0.9823,0.9992
5,0.0236,0.9931,0.0255,0.9919,0.973,0.9994
6,0.0182,0.9945,0.0173,0.9962,0.987,0.9993
7,0.0155,0.9954,0.0137,0.9964,0.9877,0.9994
8,0.0146,0.9955,0.013,0.9965,0.988,0.9996
9,0.0122,0.9962,0.0151,0.9947,0.9819,0.9995
10,0.0114,0.9963,0.0224,0.9945,0.9816,0.9992
11,0.0103,0.9965,0.0131,0.9965,0.988,0.9997
12,0.008,0.9975,0.0139,0.997,0.9899,0.9994
13,0.0088,0.9972,0.0153,0.995,0.983,0.9996
14,0.0085,0.9973,0.0145,0.9961,0.9868,0.9997
15,0.0077,0.9974,0.0241,0.9924,0.9745,0.999
16,0.0066,0.9977,0.0177,0.9966,0.9886,0.9995
17,0.0074,0.9976,0.0187,0.9958,0.9857,0.9984
18,0.0063,0.9978,0.0167,0.9959,0.9861,0.9987
19,0.0047,0.9986,0.0169,0.9959,0.9862,0.9995
20,0.0051,0.9983,0.0124,0.9968,0.9893,0.9997
21,0.0048,0.9982,0.0143,0.9967,0.9889,0.9997
22,0.0037,0.9989,0.0132,0.997,0.9899,0.9992
23,0.0036,0.9989,0.0203,0.9952,0.9837,0.9992
24,0.0043,0.9986,0.0126,0.9971,0.9902,0.9993
25,0.0029,0.999,0.0147,0.9966,0.9883,0.9991
26,0.003,0.999,0.0196,0.9955,0.9848,0.9982
27,0.0025,0.9992,0.0191,0.9963,0.9874,0.9988
28,0.0025,0.9991,0.0178,0.9966,0.9883,0.9986
29,0.0027,0.9991,0.0163,0.9963,0.9874,0.9994
30,0.0015,0.9996,0.0168,0.9969,0.9895,0.9995
31,0.0016,0.9993,0.0157,0.9963,0.9874,0.9991
32,0.0012,0.9996,0.0184,0.9963,0.9874,0.9993
33,0.0007,0.9998,0.0243,0.9958,0.9859,0.9991
34,0.0011,0.9997,0.0233,0.9968,0.9893,0.9991
35,0.0007,0.9998,0.0237,0.9963,0.9874,0.9992
36,0.0004,0.9999,0.0278,0.996,0.9864,0.9991
37,0.0004,0.9999,0.0272,0.9966,0.9886,0.9989
38,0.0003,0.9999,0.0277,0.9965,0.988,0.9989
39,0.0001,1.0,0.0288,0.9961,0.9868,0.9984
40,0.0,1.0,0.0311,0.9961,0.9868,0.9981
41,0.0001,1.0,0.0333,0.9958,0.9858,0.9981
42,0.0001,1.0,0.0326,0.9966,0.9886,0.9984
43,0.0002,0.9999,0.0313,0.9961,0.9867,0.9983
44,0.0,1.0,0.0328,0.9964,0.9877,0.9982
45,0.0,1.0,0.0329,0.9964,0.9877,0.9982
46,0.0,1.0,0.033,0.9962,0.9871,0.9983
47,0.0,1.0,0.0331,0.9963,0.9874,0.9982
48,0.0,1.0,0.0331,0.9962,0.9871,0.9982
49,nan,0.9373,nan,0.852,0.0,0.0
50,nan,0.8487,nan,0.852,0.0,0.0
