epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0599,0.9805,0.0299,0.9925,0.9743,0.9987
2,0.0346,0.9891,0.0206,0.9937,0.9786,0.9993
3,0.0278,0.9918,0.0197,0.9941,0.9798,0.9994
4,0.0238,0.9928,0.0221,0.9933,0.9771,0.9989
5,0.0207,0.9937,0.0151,0.9961,0.9868,0.9997
6,0.0189,0.9942,0.0144,0.9953,0.9842,0.9995
7,0.0164,0.995,0.0142,0.9962,0.987,0.9995
8,0.015,0.9952,0.0159,0.9958,0.9856,0.9996
9,0.015,0.9954,0.0132,0.9958,0.9858,0.9996
10,0.0136,0.9959,0.0127,0.9965,0.988,0.9996
11,0.0116,0.9964,0.0109,0.9965,0.988,0.9998
12,0.011,0.9963,0.0121,0.9963,0.9874,0.9998
13,0.0097,0.9966,0.0294,0.9938,0.9785,0.9993
14,0.0096,0.997,0.0173,0.9952,0.984,0.9993
15,0.0086,0.9972,0.0114,0.997,0.9899,0.9996
16,0.0087,0.9969,0.017,0.9961,0.9866,0.9998
17,0.0073,0.9975,0.0123,0.9969,0.9896,0.9995
18,0.0074,0.9975,0.0131,0.9971,0.9902,0.9999
19,0.0064,0.998,0.0114,0.9969,0.9895,0.9998
20,0.0058,0.9979,0.0105,0.9975,0.9915,0.9993
21,0.0063,0.9982,0.0306,0.9905,0.9686,0.999
22,0.0056,0.9981,0.0174,0.9962,0.9869,0.9992
23,0.0045,0.9984,0.0135,0.9977,0.9921,0.9995
24,0.0044,0.9986,0.0113,0.9972,0.9905,0.9997
25,0.0042,0.9985,0.0117,0.997,0.9899,0.9998
26,0.0031,0.9989,0.0153,0.9969,0.9896,0.9991
27,0.0036,0.999,0.0128,0.9973,0.9908,0.9994
28,0.0033,0.999,0.0113,0.9973,0.9908,0.9996
29,0.003,0.999,0.0131,0.9974,0.9912,0.9997
30,0.0024,0.9992,0.014,0.9966,0.9886,0.9994
31,0.0021,0.9992,0.017,0.9969,0.9896,0.9995
32,0.0019,0.9993,0.0164,0.9961,0.9868,0.9996
33,0.0019,0.9993,0.0143,0.9974,0.9912,0.9996
34,0.0013,0.9996,0.0159,0.9973,0.9908,0.9996
35,0.0009,0.9998,0.0176,0.9975,0.9915,0.9992
36,0.0013,0.9995,0.0152,0.9974,0.9912,0.9995
37,0.0005,0.9999,0.0195,0.997,0.9899,0.9994
38,0.0008,0.9997,0.0147,0.9973,0.9909,0.9996
39,0.0004,0.9998,0.0157,0.997,0.9899,0.9994
40,0.0004,0.9999,0.019,0.9973,0.9908,0.9992
41,0.0,1.0,0.0247,0.9972,0.9905,0.998
42,0.0001,0.9999,0.0213,0.9974,0.9911,0.9981
43,0.0003,0.9999,0.0226,0.9972,0.9905,0.999
44,0.0,1.0,0.0249,0.9969,0.9896,0.9983
45,0.0,1.0,0.0268,0.9969,0.9896,0.9977
46,0.0,1.0,0.0295,0.9967,0.9889,0.9966
47,0.0,1.0,0.0299,0.9967,0.989,0.9969
48,0.0,1.0,0.0302,0.9968,0.9893,0.9968
49,0.0,1.0,0.0308,0.9966,0.9886,0.9967
50,0.0,1.0,0.0308,0.9967,0.989,0.9966
