epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0559,0.9815,0.03,0.9906,0.9672,0.9972
2,0.0362,0.9889,0.0445,0.985,0.9502,0.9976
3,0.026,0.9922,0.0201,0.9942,0.9802,0.9986
4,0.0244,0.993,0.021,0.9938,0.979,0.9981
5,0.0212,0.9938,0.0178,0.995,0.9828,0.9991
6,0.0178,0.9945,0.0188,0.994,0.9798,0.9991
7,0.0153,0.9953,0.0172,0.9951,0.9832,0.9989
8,0.015,0.9957,0.0159,0.9956,0.9849,0.9993
9,0.0138,0.9957,0.0413,0.9916,0.9707,0.998
10,0.0121,0.9962,0.0248,0.9948,0.9821,0.9991
11,0.0114,0.9965,0.0236,0.9946,0.9813,0.9991
12,0.0114,0.9964,0.0194,0.9946,0.9815,0.9983
13,0.0098,0.997,0.0179,0.995,0.9827,0.9988
14,0.0095,0.997,0.0153,0.9958,0.9857,0.9992
15,0.0094,0.9969,0.0173,0.996,0.9863,0.9992
16,0.0083,0.9975,0.02,0.9955,0.9847,0.9989
17,0.0084,0.9974,0.017,0.9953,0.9841,0.9992
18,0.0076,0.9975,0.0174,0.9962,0.987,0.9991
19,0.0069,0.9977,0.0172,0.9961,0.9867,0.9987
20,0.0064,0.9982,0.022,0.9932,0.9764,0.9986
21,0.006,0.9979,0.0242,0.9947,0.9817,0.9989
22,0.006,0.998,0.0199,0.9944,0.9811,0.999
23,0.0045,0.9986,0.0176,0.996,0.9863,0.999
24,0.0049,0.9983,0.0192,0.9946,0.9818,0.9989
25,0.0042,0.9987,0.0176,0.9965,0.9879,0.9991
26,0.0043,0.9985,0.0172,0.9958,0.9858,0.9991
27,0.0038,0.9988,0.0207,0.9954,0.9846,0.9993
28,0.0038,0.9988,0.0189,0.9968,0.9892,0.9994
29,0.0028,0.9991,0.0183,0.9964,0.9875,0.9983
30,0.0028,0.999,0.0206,0.9961,0.9866,0.9988
31,0.0018,0.9993,0.0253,0.9945,0.9812,0.9989
32,0.0019,0.9993,0.0252,0.9949,0.9827,0.999
33,0.0021,0.9992,0.0198,0.9956,0.985,0.9988
34,0.0017,0.9994,0.0218,0.9964,0.9876,0.9988
35,0.0015,0.9995,0.0211,0.996,0.9863,0.9989
36,0.0009,0.9997,0.0227,0.9964,0.9877,0.9989
37,0.0006,0.9999,0.0234,0.996,0.9863,0.9991
38,0.0011,0.9996,0.0205,0.9965,0.988,0.9992
39,0.0003,0.9999,0.0286,0.9952,0.9836,0.9986
40,0.0006,0.9999,0.0239,0.9957,0.9854,0.9992
41,0.0004,0.9998,0.0235,0.9966,0.9883,0.9992
42,0.0,1.0,0.0282,0.9964,0.9876,0.9981
43,0.0,1.0,0.0307,0.9966,0.9883,0.9979
44,0.0001,1.0,0.0303,0.9966,0.9882,0.9983
45,0.0,1.0,0.0324,0.9964,0.9876,0.9975
46,0.0,1.0,0.033,0.9963,0.9873,0.9974
47,0.0,1.0,0.0361,0.9962,0.9869,0.9973
48,0.0,1.0,0.0347,0.9961,0.9866,0.9973
49,0.0,1.0,0.0345,0.9961,0.9866,0.9972
50,0.0,1.0,0.0348,0.9961,0.9866,0.9972
