epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.0792,0.9729,0.0326,0.9906,0.9685,0.9974
2,0.0398,0.9884,0.0248,0.9932,0.977,0.9985
3,0.0298,0.9913,0.0245,0.9932,0.9769,0.9985
4,0.025,0.9929,0.0194,0.9943,0.981,0.9991
5,0.0229,0.9935,0.0231,0.9931,0.9769,0.9981
6,0.0185,0.9944,0.0186,0.9939,0.9798,0.9988
7,0.0164,0.9953,0.0205,0.9936,0.9787,0.9991
8,0.0141,0.9956,0.0232,0.9938,0.9795,0.998
9,0.0128,0.9958,0.0196,0.9948,0.9825,0.9987
10,0.0111,0.9963,0.0193,0.9954,0.9847,0.9987
11,0.0104,0.9966,0.0177,0.9948,0.9825,0.9994
12,0.0091,0.9966,0.0153,0.9952,0.9839,0.9995
13,0.0075,0.9975,0.0382,0.987,0.9582,0.999
14,0.0087,0.9972,0.017,0.9951,0.9834,0.9993
15,0.0067,0.9976,0.0274,0.9915,0.9721,0.9993
16,0.0065,0.9979,0.018,0.9952,0.984,0.9994
17,0.0057,0.9982,0.0212,0.9951,0.9834,0.999
18,0.0058,0.9981,0.0226,0.9959,0.9863,0.9993
19,0.0055,0.9982,0.0235,0.9944,0.9812,0.9991
20,0.0048,0.9984,0.0254,0.9949,0.9827,0.9985
21,0.0045,0.9987,0.0208,0.9954,0.9847,0.9985
22,0.0044,0.9986,0.0169,0.9951,0.9836,0.9995
23,0.0037,0.9988,0.0175,0.996,0.9866,0.9995
24,0.0029,0.999,0.0267,0.9953,0.9843,0.9975
25,0.0034,0.9989,0.0182,0.994,0.9802,0.9995
26,0.0029,0.999,0.0262,0.9955,0.9849,0.9983
27,0.0021,0.9994,0.0236,0.9953,0.9844,0.9984
28,0.002,0.9994,0.0241,0.9952,0.9841,0.9984
29,0.0016,0.9995,0.0293,0.9952,0.9841,0.9979
30,0.0016,0.9994,0.0258,0.9956,0.9853,0.9987
31,0.0011,0.9997,0.0292,0.9953,0.9844,0.9975
32,0.0014,0.9997,0.0323,0.9953,0.9844,0.9981
33,0.0012,0.9997,0.0296,0.9947,0.9823,0.9988
34,0.001,0.9997,0.0363,0.9952,0.984,0.9969
35,0.0006,0.9998,0.0375,0.9946,0.9819,0.9976
36,0.0006,0.9999,0.0405,0.9945,0.9816,0.9964
37,0.0009,0.9998,0.0305,0.9953,0.9844,0.9974
38,0.0001,1.0,0.0351,0.9952,0.9838,0.9977
39,0.0,1.0,0.038,0.995,0.9832,0.9965
40,0.0002,1.0,0.0375,0.995,0.9832,0.9965
41,0.0001,1.0,0.039,0.9947,0.9822,0.9962
42,0.0002,1.0,0.0382,0.9952,0.9841,0.995
43,0.0,1.0,0.0394,0.9952,0.9841,0.9953
44,0.0,1.0,0.0406,0.9952,0.9838,0.9951
45,0.0,1.0,0.0416,0.9951,0.9835,0.9945
46,0.0,1.0,0.0431,0.9951,0.9835,0.9946
47,0.0,1.0,0.0439,0.995,0.9831,0.9943
48,0.0,1.0,0.0454,0.995,0.9832,0.9942
49,0.0,1.0,0.045,0.995,0.9832,0.9943
50,0.0,1.0,0.0443,0.9951,0.9835,0.9945
